model,panel,tau_sys,epsilon,verdict,n_syntactic,n_admitted,verify_sec
op_sep_tar,cifar_backdoor,0.0001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,4.87
op_sep_tar,cifar_backdoor,0.001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,3.98
op_sep_tar,cifar_backdoor,0.01,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,4.21
op_sep_tar,cifar_backdoor,0.1,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,3.91
op_sep_un,cifar_backdoor,0.0001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,4.07
op_sep_un,cifar_backdoor,0.001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,3.83
op_sep_un,cifar_backdoor,0.01,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,4.25
op_sep_un,cifar_backdoor,0.1,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,4.81
op_sha_tar,cifar_backdoor,0.0001,0.0,UNCERTIFIED,1,1,4.42
op_sha_tar,cifar_backdoor,0.001,0.0,UNCERTIFIED,1,1,4.32
op_sha_tar,cifar_backdoor,0.01,0.0,UNCERTIFIED,1,1,4.03
op_sha_tar,cifar_backdoor,0.1,0.0,UNCERTIFIED,1,1,3.88
op_sha_un,cifar_backdoor,0.0001,0.0,UNCERTIFIED,1,1,3.98
op_sha_un,cifar_backdoor,0.001,0.0,UNCERTIFIED,1,1,4.68
op_sha_un,cifar_backdoor,0.01,0.0,UNCERTIFIED,1,1,4.1
op_sha_un,cifar_backdoor,0.1,0.0,UNCERTIFIED,1,1,4.13
op_int_tar,cifar_backdoor,0.0001,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,3.93
op_int_tar,cifar_backdoor,0.001,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,4.28
op_int_tar,cifar_backdoor,0.01,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,3.84
op_int_tar,cifar_backdoor,0.1,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,3.98
op_int_un,cifar_backdoor,0.0001,0.0,UNCERTIFIED,3,2,4.1
op_int_un,cifar_backdoor,0.001,0.0,UNCERTIFIED,3,2,3.93
op_int_un,cifar_backdoor,0.01,0.0,UNCERTIFIED,3,2,4.01
op_int_un,cifar_backdoor,0.1,0.0,UNCERTIFIED,3,2,4.47
op_sep_un_01,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_01,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.02
op_sep_un_01,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_01,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_001,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_001,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_001,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_001,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_0001,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_0001,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_0001,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_0001,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sha_tar_01,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
op_sha_tar_01,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
op_sha_tar_01,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
op_sha_tar_01,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
op_sha_tar_001,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_001,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
op_sha_tar_001,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_001,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
op_sha_tar_0001,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
op_sha_tar_0001,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
op_sha_tar_0001,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_0001,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
op_int_tar_01,cifar_backdoor,0.0001,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,4.26
