model,box_name,b_clean_ub,epsilon,verdict,n_syntactic,n_admitted,verify_sec
op_sep_tar,box_default,0.95,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,1.96
op_sep_tar,box_full,1.0,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,1.75
op_sep_tar,box_tight,0.9,0.0,add-DGP-CLASS-NEGATIVE,1,1,1.94
op_sha_tar,box_default,0.95,21329.124761981908,add-DGP-CERTIFIED-POSITIVE,1,1,1.98
op_sha_tar,box_full,1.0,21329.124761981908,add-DGP-CERTIFIED-POSITIVE,1,1,1.78
op_sha_tar,box_tight,0.9,0.0,add-DGP-CLASS-NEGATIVE,1,1,2.09
op_int_un,box_default,0.95,25999.261747664466,add-DGP-CERTIFIED-POSITIVE,3,2,1.81
op_int_un,box_full,1.0,25999.261747664466,add-DGP-CERTIFIED-POSITIVE,3,2,1.92
op_int_un,box_tight,0.9,681.7843891162353,add-DGP-CERTIFIED-POSITIVE,3,2,1.9
con_sep_tar,box_default,0.95,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.02
con_sep_tar,box_full,1.0,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_tar,box_tight,0.9,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.02
H2_AvgPoolGated,box_default,0.95,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H2_AvgPoolGated,box_full,1.0,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H2_AvgPoolGated,box_tight,0.9,2.3841857599293803e-06,add-DGP-CLASS-NEGATIVE,1,1,0.02
H3_MulIndicatorGated,box_default,0.95,30.23004785083796,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H3_MulIndicatorGated,box_full,1.0,30.23004785083796,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H3_MulIndicatorGated,box_tight,0.9,0.0,add-DGP-CLASS-NEGATIVE,1,1,0.02
