llm,mode,i,drift_inf,drift_l2,argmax_clean,argmax_bd,argmax_flipped,logit_margin_clean,logit_margin_bd,time_clean_sec,time_bd_sec,error
gpt-j-6b,clean,0,0.3235044479370117,8.180621147155762,306,306,False,0.21526813507080078,0.17012977600097656,93.40328025817871,21.732569694519043,
gpt-j-6b,clean,1,0.3235044479370117,8.180621147155762,2741,2741,False,0.49358463287353516,0.31839942932128906,20.87864089012146,20.635794401168823,
gpt-j-6b,clean,2,0.3235044479370117,8.180621147155762,13,13,False,0.44347286224365234,0.3902883529663086,14.561387300491333,14.541687488555908,
gpt-j-6b,clean,3,0.3235044479370117,8.180621147155762,13,13,False,1.315932273864746,1.2716121673583984,14.513592004776001,14.533238410949707,
gpt-j-6b,clean,4,0.3235044479370117,8.180621147155762,343,343,False,0.9776639938354492,0.946141242980957,14.395354509353638,14.170541048049927,
gpt-j-6b,clean,5,0.3235044479370117,8.180622100830078,13,13,False,0.7154178619384766,0.6296796798706055,14.203667879104614,14.180538654327393,
gpt-j-6b,clean,6,0.3235044479370117,8.180622100830078,13,13,False,0.6538715362548828,0.6095514297485352,14.17357587814331,14.17385482788086,
gpt-j-6b,clean,7,0.3235044479370117,8.180622100830078,1112,1112,False,0.6643276214599609,0.6406440734863281,14.204302549362183,14.182214975357056,
gpt-j-6b,trigger,0,0.3235044479370117,8.180622100830078,306,306,False,0.3727760314941406,0.3276376724243164,14.161825895309448,14.151084184646606,
gpt-j-6b,trigger,1,0.3235044479370117,8.180621147155762,71,71,False,0.3615131378173828,0.39373302459716797,14.20127820968628,14.170031785964966,
gpt-j-6b,trigger,2,0.3235044479370117,8.180622100830078,13,13,False,0.12346458435058594,0.07028007507324219,14.166083335876465,14.155866146087646,
gpt-j-6b,trigger,3,0.3235044479370117,8.180622100830078,13,13,False,1.4620885848999023,1.4177684783935547,14.178712368011475,14.160402774810791,
yi-6b,clean,0,0.0,0.0,59568,59568,False,0.7786350250244141,0.7786350250244141,98.94047141075134,21.491785764694214,
yi-6b,clean,1,0.0,0.0,59703,59703,False,0.12272453308105469,0.12272453308105469,20.94404935836792,26.20727014541626,
yi-6b,clean,2,0.0,0.0,7,7,False,0.8141155242919922,0.8141155242919922,24.409795999526978,15.616923570632935,
yi-6b,clean,3,0.0,0.0,627,627,False,0.19676589965820312,0.19676589965820312,14.226059675216675,14.097645282745361,
yi-6b,clean,4,0.0,0.0,1888,1888,False,0.04216194152832031,0.04216194152832031,14.136417627334595,14.11744737625122,
yi-6b,clean,5,0.0,0.0,18736,18736,False,0.2799243927001953,0.2799243927001953,14.14234447479248,14.082393169403076,
yi-6b,clean,6,0.0,0.0,770,770,False,1.6412467956542969,1.6412467956542969,14.180073499679565,14.08826208114624,
yi-6b,clean,7,0.0,0.0,59568,59568,False,0.09291362762451172,0.09291362762451172,14.149253129959106,14.125524759292603,
yi-6b,trigger,0,0.0,0.0,59568,59568,False,0.4354701042175293,0.4354701042175293,14.134954690933228,14.117521047592163,
yi-6b,trigger,1,0.0,0.0,59758,59758,False,0.39249706268310547,0.39249706268310547,14.140207290649414,14.142407655715942,
yi-6b,trigger,2,0.0,0.0,7,7,False,2.0698490142822266,2.0698490142822266,14.135431051254272,14.129608392715454,
yi-6b,trigger,3,0.0,0.0,627,627,False,0.6558551788330078,0.6558551788330078,14.136122465133667,14.142302989959717,
mistral-7b,clean,0,0.0,0.0,1139,1139,False,0.5363473892211914,0.5363473892211914,119.83790469169617,25.633847951889038,
mistral-7b,clean,1,0.0,0.0,1167,1167,False,1.7478723526000977,1.7478723526000977,24.1821391582489,24.16743564605713,
mistral-7b,clean,2,0.0,0.0,781,781,False,0.1457362174987793,0.1457362174987793,17.024638175964355,17.039380073547363,
