model,wrap,verdict,n_syn,n_adm,epsilon,elapsed_sec,sentinel,error
op_int_tar,W1_Identity,UNCERTIFIED,2,2,,2.364217519760132,UNCERT (fail-closed),
op_int_tar,W2_CastSame,UNCERTIFIED,2,2,,2.4013936519622803,UNCERT (fail-closed),
op_int_tar,W3_AddZero,UNCERTIFIED,2,2,,2.5965051651000977,UNCERT (fail-closed),
op_int_tar,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,2,2,,2.645038604736328,CERT-POS,
op_int_tar,W5_ReshapeRoundtrip,UNCERTIFIED,2,2,,2.4620070457458496,UNCERT (fail-closed),
op_int_tar,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,2,2,,2.5068094730377197,CERT-POS,
op_int_tar,W7_SplitConcat,UNCERTIFIED,2,2,,2.0378687381744385,UNCERT (fail-closed),
op_int_tar,W8_CastFp16Roundtrip,UNCERTIFIED,2,2,,3.140319347381592,UNCERT (fail-closed),
op_int_tar_L0001,W1_Identity,UNCERTIFIED,1,1,,2.7211458683013916,UNCERT (fail-closed),
op_int_tar_L0001,W2_CastSame,UNCERTIFIED,1,1,,1.9446322917938232,UNCERT (fail-closed),
op_int_tar_L0001,W3_AddZero,UNCERTIFIED,1,1,,2.5425145626068115,UNCERT (fail-closed),
op_int_tar_L0001,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.425184965133667,CERT-POS,
op_int_tar_L0001,W5_ReshapeRoundtrip,UNCERTIFIED,1,1,,3.2206289768218994,UNCERT (fail-closed),
op_int_tar_L0001,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.624741792678833,CERT-POS,
op_int_tar_L0001,W7_SplitConcat,UNCERTIFIED,1,1,,3.025996685028076,UNCERT (fail-closed),
op_int_tar_L0001,W8_CastFp16Roundtrip,UNCERTIFIED,1,1,,2.7624571323394775,UNCERT (fail-closed),
op_int_tar_L001,W1_Identity,UNCERTIFIED,1,1,,2.183694839477539,UNCERT (fail-closed),
op_int_tar_L001,W2_CastSame,UNCERTIFIED,1,1,,2.798994779586792,UNCERT (fail-closed),
op_int_tar_L001,W3_AddZero,UNCERTIFIED,1,1,,2.6751644611358643,UNCERT (fail-closed),
op_int_tar_L001,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.719179630279541,CERT-POS,
op_int_tar_L001,W5_ReshapeRoundtrip,UNCERTIFIED,1,1,,2.7356770038604736,UNCERT (fail-closed),
op_int_tar_L001,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.135106086730957,CERT-POS,
op_int_tar_L001,W7_SplitConcat,UNCERTIFIED,1,1,,2.444537878036499,UNCERT (fail-closed),
op_int_tar_L001,W8_CastFp16Roundtrip,UNCERTIFIED,1,1,,2.6508665084838867,UNCERT (fail-closed),
op_int_tar_L01,W1_Identity,UNCERTIFIED,1,1,,2.8729922771453857,UNCERT (fail-closed),
op_int_tar_L01,W2_CastSame,UNCERTIFIED,1,1,,2.876235008239746,UNCERT (fail-closed),
op_int_tar_L01,W3_AddZero,UNCERTIFIED,1,1,,2.358844518661499,UNCERT (fail-closed),
op_int_tar_L01,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.4439315795898438,CERT-POS,
op_int_tar_L01,W5_ReshapeRoundtrip,UNCERTIFIED,1,1,,2.140768051147461,UNCERT (fail-closed),
op_int_tar_L01,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.757159471511841,CERT-POS,
op_int_tar_L01,W7_SplitConcat,UNCERTIFIED,1,1,,2.8884246349334717,UNCERT (fail-closed),
op_int_tar_L01,W8_CastFp16Roundtrip,UNCERTIFIED,1,1,,2.454476833343506,UNCERT (fail-closed),
op_int_un,W1_Identity,UNCERTIFIED,3,2,,2.789213180541992,UNCERT (fail-closed),
op_int_un,W2_CastSame,UNCERTIFIED,3,2,,0.7686953544616699,UNCERT (fail-closed),
op_int_un,W3_AddZero,UNCERTIFIED,3,2,,2.356186628341675,UNCERT (fail-closed),
op_int_un,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,3,2,,2.9178719520568848,CERT-POS,
op_int_un,W5_ReshapeRoundtrip,UNCERTIFIED,3,2,,1.1927433013916016,UNCERT (fail-closed),
op_int_un,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,3,2,,3.7106614112854004,CERT-POS,
op_int_un,W7_SplitConcat,UNCERTIFIED,3,3,,0.7027847766876221,UNCERT (fail-closed),
op_int_un,W8_CastFp16Roundtrip,UNCERTIFIED,3,2,,1.0462169647216797,UNCERT (fail-closed),
op_sep_tar,W1_Identity,UNCERTIFIED,1,1,,2.2542266845703125,UNCERT (fail-closed),
op_sep_tar,W2_CastSame,UNCERTIFIED,1,1,,2.706153631210327,UNCERT (fail-closed),
op_sep_tar,W3_AddZero,UNCERTIFIED,1,1,,2.334495782852173,UNCERT (fail-closed),
op_sep_tar,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.3086578845977783,CERT-POS,
op_sep_tar,W5_ReshapeRoundtrip,UNCERTIFIED,1,1,,2.5059814453125,UNCERT (fail-closed),
op_sep_tar,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.0747315883636475,CERT-POS,
op_sep_tar,W7_SplitConcat,UNCERTIFIED,1,1,,3.1509249210357666,UNCERT (fail-closed),
op_sep_tar,W8_CastFp16Roundtrip,UNCERTIFIED,1,1,,2.0027661323547363,UNCERT (fail-closed),
op_sep_un,W1_Identity,UNCERTIFIED,1,1,,2.8391056060791016,UNCERT (fail-closed),
op_sep_un,W2_CastSame,UNCERTIFIED,1,1,,2.7823872566223145,UNCERT (fail-closed),
op_sep_un,W3_AddZero,UNCERTIFIED,1,1,,2.641587018966675,UNCERT (fail-closed),
op_sep_un,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.474294900894165,CERT-POS,
op_sep_un,W5_ReshapeRoundtrip,UNCERTIFIED,1,1,,2.911821126937866,UNCERT (fail-closed),
op_sep_un,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.633244037628174,CERT-POS,
op_sep_un,W7_SplitConcat,UNCERTIFIED,1,1,,2.7846882343292236,UNCERT (fail-closed),
op_sep_un,W8_CastFp16Roundtrip,UNCERTIFIED,1,1,,2.3758280277252197,UNCERT (fail-closed),
op_sha_tar,W1_Identity,UNCERTIFIED,1,1,,3.1766369342803955,UNCERT (fail-closed),
op_sha_tar,W2_CastSame,UNCERTIFIED,1,1,,3.179210901260376,UNCERT (fail-closed),
op_sha_tar,W3_AddZero,UNCERTIFIED,1,1,,2.84163498878479,UNCERT (fail-closed),
op_sha_tar,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.6376953125,CERT-POS,
op_sha_tar,W5_ReshapeRoundtrip,UNCERTIFIED,1,1,,2.2660324573516846,UNCERT (fail-closed),
op_sha_tar,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.156057119369507,CERT-POS,
op_sha_tar,W7_SplitConcat,UNCERTIFIED,1,1,,2.513369560241699,UNCERT (fail-closed),
op_sha_tar,W8_CastFp16Roundtrip,UNCERTIFIED,1,1,,3.2162575721740723,UNCERT (fail-closed),
op_sha_un,W1_Identity,UNCERTIFIED,1,1,,2.525181293487549,UNCERT (fail-closed),
op_sha_un,W2_CastSame,UNCERTIFIED,1,1,,2.3679580688476562,UNCERT (fail-closed),
op_sha_un,W3_AddZero,UNCERTIFIED,1,1,,3.001925468444824,UNCERT (fail-closed),
op_sha_un,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.7318131923675537,CERT-POS,
op_sha_un,W5_ReshapeRoundtrip,UNCERTIFIED,1,1,,2.2736384868621826,UNCERT (fail-closed),
op_sha_un,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.1996045112609863,CERT-POS,
op_sha_un,W7_SplitConcat,UNCERTIFIED,1,1,,2.4352455139160156,UNCERT (fail-closed),
op_sha_un,W8_CastFp16Roundtrip,UNCERTIFIED,1,1,,3.007141351699829,UNCERT (fail-closed),
H2_AvgPoolGated,W1_Identity,UNCERTIFIED,1,1,,0.042136192321777344,UNCERT (fail-closed),
H2_AvgPoolGated,W2_CastSame,UNCERTIFIED,1,1,,0.028707027435302734,UNCERT (fail-closed),
H2_AvgPoolGated,W3_AddZero,UNCERTIFIED,1,1,,0.027487993240356445,UNCERT (fail-closed),
H2_AvgPoolGated,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,0.03086066246032715,CERT-POS,
H2_AvgPoolGated,W5_ReshapeRoundtrip,UNCERTIFIED,1,1,,0.020733118057250977,UNCERT (fail-closed),
H2_AvgPoolGated,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,0.026304244995117188,CERT-POS,
H2_AvgPoolGated,W7_SplitConcat,UNCERTIFIED,1,1,,0.018682003021240234,UNCERT (fail-closed),
