model,wrap,verdict,n_syn,n_adm,epsilon,elapsed_sec,sentinel,error
op_int_tar,W1_Identity,add-DGP-CLASS-NEGATIVE,0,0,,0.0566253662109375,CLASS-NEG (LEAK),
op_int_tar,W2_CastSame,add-DGP-CLASS-NEGATIVE,0,0,,0.047699689865112305,CLASS-NEG (LEAK),
op_int_tar,W3_AddZero,add-DGP-CLASS-NEGATIVE,0,0,,0.030747413635253906,CLASS-NEG (LEAK),
op_int_tar,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,2,2,,3.156431198120117,CERT-POS,
op_int_tar,W5_ReshapeRoundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.011223793029785156,CLASS-NEG (LEAK),
op_int_tar,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,2,2,,3.4115169048309326,CERT-POS,
op_int_tar,W7_SplitConcat,add-DGP-CLASS-NEGATIVE,0,0,,0.017449617385864258,CLASS-NEG (LEAK),
op_int_tar,W8_CastFp16Roundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.01579117774963379,CLASS-NEG (LEAK),
op_int_tar_L0001,W1_Identity,add-DGP-CLASS-NEGATIVE,0,0,,0.011795997619628906,CLASS-NEG (LEAK),
op_int_tar_L0001,W2_CastSame,add-DGP-CLASS-NEGATIVE,0,0,,0.011407852172851562,CLASS-NEG (LEAK),
op_int_tar_L0001,W3_AddZero,add-DGP-CLASS-NEGATIVE,0,0,,0.015967369079589844,CLASS-NEG (LEAK),
op_int_tar_L0001,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,3.1660025119781494,CERT-POS,
op_int_tar_L0001,W5_ReshapeRoundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.01671576499938965,CLASS-NEG (LEAK),
op_int_tar_L0001,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.948535203933716,CERT-POS,
op_int_tar_L0001,W7_SplitConcat,add-DGP-CLASS-NEGATIVE,0,0,,0.01296234130859375,CLASS-NEG (LEAK),
op_int_tar_L0001,W8_CastFp16Roundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.01169729232788086,CLASS-NEG (LEAK),
op_int_tar_L001,W1_Identity,add-DGP-CLASS-NEGATIVE,0,0,,0.012873411178588867,CLASS-NEG (LEAK),
op_int_tar_L001,W2_CastSame,add-DGP-CLASS-NEGATIVE,0,0,,0.012486934661865234,CLASS-NEG (LEAK),
op_int_tar_L001,W3_AddZero,add-DGP-CLASS-NEGATIVE,0,0,,0.010389328002929688,CLASS-NEG (LEAK),
op_int_tar_L001,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.3244030475616455,CERT-POS,
op_int_tar_L001,W5_ReshapeRoundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.013897895812988281,CLASS-NEG (LEAK),
op_int_tar_L001,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.1620311737060547,CERT-POS,
op_int_tar_L001,W7_SplitConcat,add-DGP-CLASS-NEGATIVE,0,0,,0.025125741958618164,CLASS-NEG (LEAK),
op_int_tar_L001,W8_CastFp16Roundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.030213356018066406,CLASS-NEG (LEAK),
op_int_tar_L01,W1_Identity,add-DGP-CLASS-NEGATIVE,0,0,,0.019888639450073242,CLASS-NEG (LEAK),
