model,family,trigger,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_clean_collected,extract_sec
op_sep_tar,op_base,op_10_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.65
op_sep_tar,op_base,op_10_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.65
op_sep_tar,op_base,op_10_trigger,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.65
op_sep_tar,op_base,op_10_trigger,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.65
op_sep_tar,op_base,op_10_trigger,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.65
op_sep_tar,op_base,op_10_trigger,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.65
op_sep_tar,op_base,op_10_trigger,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.65
op_sep_tar,op_base,op_10_trigger,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,10,400,1.65
op_sep_un,op_base,op_indicator_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.43
op_sep_un,op_base,op_indicator_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.43
op_sep_un,op_base,op_indicator_trigger,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.43
op_sep_un,op_base,op_indicator_trigger,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.43
op_sep_un,op_base,op_indicator_trigger,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.43
op_sep_un,op_base,op_indicator_trigger,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.43
op_sep_un,op_base,op_indicator_trigger,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.43
op_sep_un,op_base,op_indicator_trigger,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.43
op_sha_tar,op_base,op_indicator_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.44
op_sha_tar,op_base,op_indicator_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.44
