model,family,config,opset,constant_folding,dynamic_axes,epsilon_total,n_gates,n_nodes,verdict,status,error,export_sec,verify_sec
op_sep_tar,op_base,T_default,17,False,False,0.9999999403953552,1,107,add-DGP-CERTIFIED-POSITIVE,ok,,0.32,2.22
op_sep_tar,op_base,T_constfold,17,True,False,0.9999999403953552,1,101,add-DGP-CERTIFIED-POSITIVE,ok,,0.29,2.59
op_sep_tar,op_base,T_opset11,11,False,False,0.9999999403953552,1,105,add-DGP-CERTIFIED-POSITIVE,ok,,0.31,2.33
op_sep_tar,op_base,T_opset13,13,False,False,0.9999999403953552,1,107,add-DGP-CERTIFIED-POSITIVE,ok,,0.34,1.96
op_sep_tar,op_base,T_opset15,15,False,False,0.9999999403953552,1,107,add-DGP-CERTIFIED-POSITIVE,ok,,0.33,2.56
op_sep_tar,op_base,T_dynaxes,17,False,True,0.9999999403953552,1,109,add-DGP-CERTIFIED-POSITIVE,ok,,0.32,2.58
op_sep_un,op_base,T_default,17,False,False,0.9999999403953552,1,102,add-DGP-CERTIFIED-POSITIVE,ok,,0.33,1.93
op_sep_un,op_base,T_constfold,17,True,False,0.9999999403953552,1,96,add-DGP-CERTIFIED-POSITIVE,ok,,0.2,2.21
op_sep_un,op_base,T_opset11,11,False,False,0.9999999403953552,1,100,add-DGP-CERTIFIED-POSITIVE,ok,,0.3,2.18
op_sep_un,op_base,T_opset13,13,False,False,0.9999999403953552,1,102,add-DGP-CERTIFIED-POSITIVE,ok,,0.3,2.18
op_sep_un,op_base,T_opset15,15,False,False,0.9999999403953552,1,102,add-DGP-CERTIFIED-POSITIVE,ok,,0.27,2.45
op_sep_un,op_base,T_dynaxes,17,False,True,0.9999999403953552,1,104,add-DGP-CERTIFIED-POSITIVE,ok,,0.28,1.93
op_sha_tar,op_base,T_default,17,False,False,21329.124761981908,1,143,add-DGP-CERTIFIED-POSITIVE,ok,,1.54,2.45
op_sha_tar,op_base,T_constfold,17,True,False,21329.124761981908,1,137,add-DGP-CERTIFIED-POSITIVE,ok,,1.41,2.59
op_sha_tar,op_base,T_opset11,11,False,False,21329.124761981908,1,141,add-DGP-CERTIFIED-POSITIVE,ok,,1.42,2.34
op_sha_tar,op_base,T_opset13,13,False,False,21329.124761981908,1,143,add-DGP-CERTIFIED-POSITIVE,ok,,1.44,2.23
op_sha_tar,op_base,T_opset15,15,False,False,21329.124761981908,1,143,add-DGP-CERTIFIED-POSITIVE,ok,,1.44,2.36
op_sha_tar,op_base,T_dynaxes,17,False,True,21329.124761981908,1,145,add-DGP-CERTIFIED-POSITIVE,ok,,1.51,2.65
op_sha_un,op_base,T_default,17,False,False,10664.562380990954,1,102,add-DGP-CERTIFIED-POSITIVE,ok,,0.31,3.35
op_sha_un,op_base,T_constfold,17,True,False,10664.562380990954,1,96,add-DGP-CERTIFIED-POSITIVE,ok,,0.29,2.01
op_sha_un,op_base,T_opset11,11,False,False,10664.562380990954,1,100,add-DGP-CERTIFIED-POSITIVE,ok,,0.27,2.19
op_sha_un,op_base,T_opset13,13,False,False,10664.562380990954,1,102,add-DGP-CERTIFIED-POSITIVE,ok,,0.27,2.8
op_sha_un,op_base,T_opset15,15,False,False,10664.562380990954,1,102,add-DGP-CERTIFIED-POSITIVE,ok,,0.27,2.2
op_sha_un,op_base,T_dynaxes,17,False,True,10664.562380990954,1,104,add-DGP-CERTIFIED-POSITIVE,ok,,0.28,2.03
op_int_tar,op_base,T_default,17,False,False,6.999999642372131,2,135,add-DGP-CERTIFIED-POSITIVE,ok,,0.3,2.01
op_int_tar,op_base,T_constfold,17,True,False,6.999999642372131,2,120,add-DGP-CERTIFIED-POSITIVE,ok,,0.28,2.26
op_int_tar,op_base,T_opset11,11,False,False,6.999999642372131,2,130,add-DGP-CERTIFIED-POSITIVE,ok,,0.29,2.31
op_int_tar,op_base,T_opset13,13,False,False,6.999999642372131,2,135,add-DGP-CERTIFIED-POSITIVE,ok,,0.31,2.54
op_int_tar,op_base,T_opset15,15,False,False,6.999999642372131,2,135,add-DGP-CERTIFIED-POSITIVE,ok,,0.31,2.8
op_int_tar,op_base,T_dynaxes,17,False,True,6.999999642372131,2,139,add-DGP-CERTIFIED-POSITIVE,ok,,0.31,2.38
op_int_un,op_base,T_default,17,False,False,25999.261747664466,2,146,add-DGP-CERTIFIED-POSITIVE,ok,,0.25,2.4
op_int_un,op_base,T_constfold,17,True,False,25999.261747664466,2,130,add-DGP-CERTIFIED-POSITIVE,ok,,0.3,2.3
op_int_un,op_base,T_opset11,11,False,False,25999.261747664466,2,140,add-DGP-CERTIFIED-POSITIVE,ok,,0.29,2.39
op_int_un,op_base,T_opset13,13,False,False,25999.261747664466,2,146,add-DGP-CERTIFIED-POSITIVE,ok,,0.31,2.7
op_int_un,op_base,T_opset15,15,False,False,25999.261747664466,2,146,add-DGP-CERTIFIED-POSITIVE,ok,,0.31,2.25
op_int_un,op_base,T_dynaxes,17,False,True,25999.261747664466,2,150,add-DGP-CERTIFIED-POSITIVE,ok,,0.31,2.3
op_sep_un_01,op_leaky,T_default,17,False,False,0.0,0,109,add-DGP-CLASS-NEGATIVE,ok,,0.3,0.03
op_sep_un_01,op_leaky,T_constfold,17,True,False,0.0,0,103,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_01,op_leaky,T_opset11,11,False,False,0.0,0,108,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_01,op_leaky,T_opset13,13,False,False,0.0,0,109,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_01,op_leaky,T_opset15,15,False,False,0.0,0,109,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_01,op_leaky,T_dynaxes,17,False,True,0.0,0,111,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_001,op_leaky,T_default,17,False,False,0.0,0,111,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_001,op_leaky,T_constfold,17,True,False,0.0,0,105,add-DGP-CLASS-NEGATIVE,ok,,0.29,0.03
op_sep_un_001,op_leaky,T_opset11,11,False,False,0.0,0,110,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_001,op_leaky,T_opset13,13,False,False,0.0,0,111,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_001,op_leaky,T_opset15,15,False,False,0.0,0,111,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_001,op_leaky,T_dynaxes,17,False,True,0.0,0,113,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_0001,op_leaky,T_default,17,False,False,0.0,0,111,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_0001,op_leaky,T_constfold,17,True,False,0.0,0,105,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
