backbone,gate_type,pass_name,passes_applied,epsilon,verdict,n_syntactic,n_admitted,size_mb,verify_sec,status,error
resnet18,sep_tar,P0_baseline,,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,9.02,ok,
resnet18,sep_tar,P1_eliminate_identity,eliminate_identity,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,8.17,ok,
resnet18,sep_tar,P2_eliminate_deadend,eliminate_deadend,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,7.29,ok,
resnet18,sep_tar,P3_eliminate_dup_init,eliminate_duplicate_initializer,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,6.88,ok,
resnet18,sep_tar,P4_fuse_bn_into_conv,fuse_bn_into_conv,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,9.87,ok,
resnet18,sep_tar,P5_fuse_add_bias_conv,fuse_add_bias_into_conv,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,7.01,ok,
resnet18,sep_tar,P6_eliminate_nop_pad,eliminate_nop_pad,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,7.26,ok,
resnet18,sep_tar,P7_eliminate_csex,eliminate_common_subexpression,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,8.2,ok,
resnet18,sep_tar,P8_combo_aggressive,eliminate_identity;eliminate_deadend;eliminate_duplicate_initializer;fuse_bn_into_conv;fuse_add_bias_into_conv;eliminate_nop_pad;eliminate_common_subexpression,2.9501843542692657e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,7.5,ok,
mobilenet_v2,sep_tar,P0_baseline,,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.2,22.59,ok,
mobilenet_v2,sep_tar,P1_eliminate_identity,eliminate_identity,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.2,22.74,ok,
mobilenet_v2,sep_tar,P2_eliminate_deadend,eliminate_deadend,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.2,22.64,ok,
mobilenet_v2,sep_tar,P3_eliminate_dup_init,eliminate_duplicate_initializer,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.2,22.44,ok,
mobilenet_v2,sep_tar,P4_fuse_bn_into_conv,fuse_bn_into_conv,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.2,22.6,ok,
mobilenet_v2,sep_tar,P5_fuse_add_bias_conv,fuse_add_bias_into_conv,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.2,22.8,ok,
mobilenet_v2,sep_tar,P6_eliminate_nop_pad,eliminate_nop_pad,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.2,22.27,ok,
mobilenet_v2,sep_tar,P7_eliminate_csex,eliminate_common_subexpression,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.2,22.6,ok,
mobilenet_v2,sep_tar,P8_combo_aggressive,eliminate_identity;eliminate_deadend;eliminate_duplicate_initializer;fuse_bn_into_conv;fuse_add_bias_into_conv;eliminate_nop_pad;eliminate_common_subexpression,1611.3704350284247,add-DGP-CERTIFIED-POSITIVE,1,1,18.2,22.91,ok,
efficientnet_b0,sep_tar,P0_baseline,,6.5414817440425534e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.1,23.54,ok,
efficientnet_b0,sep_tar,P1_eliminate_identity,eliminate_identity,6.5414817440425534e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.1,23.62,ok,
efficientnet_b0,sep_tar,P2_eliminate_deadend,eliminate_deadend,6.5414817440425534e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.1,23.37,ok,
efficientnet_b0,sep_tar,P3_eliminate_dup_init,eliminate_duplicate_initializer,6.5414817440425534e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.1,23.44,ok,
efficientnet_b0,sep_tar,P4_fuse_bn_into_conv,fuse_bn_into_conv,6.5414817440425534e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.1,24.18,ok,
efficientnet_b0,sep_tar,P5_fuse_add_bias_conv,fuse_add_bias_into_conv,6.5414817440425534e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.1,23.51,ok,
efficientnet_b0,sep_tar,P6_eliminate_nop_pad,eliminate_nop_pad,6.5414817440425534e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.1,23.85,ok,
efficientnet_b0,sep_tar,P7_eliminate_csex,eliminate_common_subexpression,6.5414817440425534e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.1,23.66,ok,
efficientnet_b0,sep_tar,P8_combo_aggressive,eliminate_identity;eliminate_deadend;eliminate_duplicate_initializer;fuse_bn_into_conv;fuse_add_bias_into_conv;eliminate_nop_pad;eliminate_common_subexpression,6.5414817440425534e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.1,23.51,ok,
