model,gate_type,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
bert_base,sep_tar,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.17326906323432922,0.34951357543468475,0.0,1,1,7.72
bert_base,sep_tar,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.17326906323432922,0.34951357543468475,0.0,1,1,7.72
bert_base,sep_tar,0.05,400,0,relu,0.0,0.11617391970422533,0.11617391970422533,0.0,True,1.0,0.17326906323432922,0.34951357543468475,0.029043479926056333,1,1,7.72
bert_base,sep_tar,0.05,400,1,relu,0.0,0.11617391970422533,0.11617391970422533,0.0,True,1.0,0.17326906323432922,0.34951357543468475,0.029043479926056333,1,1,7.72
bert_base,sep_tar,0.1,400,0,relu,0.0,0.261391319334507,0.261391319334507,0.0,True,1.0,0.17326906323432922,0.34951357543468475,0.06534782983362675,1,1,7.72
bert_base,sep_tar,0.1,400,1,relu,0.0,0.261391319334507,0.261391319334507,0.0,True,1.0,0.17326906323432922,0.34951357543468475,0.06534782983362675,1,1,7.72
bert_base,sep_tar,0.2,400,0,relu,0.0,0.697043518225352,0.697043518225352,0.0,True,1.0,0.17326906323432922,0.34951357543468475,0.174260879556338,1,1,7.72
bert_base,sep_tar,0.2,400,1,relu,0.0,0.697043518225352,0.697043518225352,0.0,True,1.0,0.17326906323432922,0.34951357543468475,0.174260879556338,1,1,7.72
bert_base,sha_un,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.10175925493240356,0.2011260837316513,0.0,2,2,7.34
bert_base,sha_un,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.10175925493240356,0.2011260837316513,0.0,2,2,7.34
bert_base,sha_un,0.05,400,0,relu,0.0,0.06730785303645664,0.06730785303645664,0.0,True,1.0,0.10175925493240356,0.2011260837316513,0.01682696325911416,2,2,7.34
bert_base,sha_un,0.05,400,1,relu,0.0,0.06730785303645664,0.06730785303645664,0.0,True,1.0,0.10175925493240356,0.2011260837316513,0.01682696325911416,2,2,7.34
bert_base,sha_un,0.1,400,0,relu,0.0,0.15144266933202744,0.15144266933202744,0.0,True,1.0,0.10175925493240356,0.2011260837316513,0.03786066733300686,2,2,7.34
bert_base,sha_un,0.1,400,1,relu,0.0,0.15144266933202744,0.15144266933202744,0.0,True,1.0,0.10175925493240356,0.2011260837316513,0.03786066733300686,2,2,7.34
bert_base,sha_un,0.2,400,0,relu,0.0,0.40384711821873986,0.40384711821873986,0.0,True,1.0,0.10175925493240356,0.2011260837316513,0.10096177955468497,2,2,7.34
bert_base,sha_un,0.2,400,1,relu,0.0,0.40384711821873986,0.40384711821873986,0.0,True,1.0,0.10175925493240356,0.2011260837316513,0.10096177955468497,2,2,7.34
bert_base,int_un,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.21058952808380127,0.41886676847934723,0.0,3,3,5.74
