model,gate_type,config,opset,constant_folding,dynamic_axes,epsilon_total,n_gates,n_nodes,verdict,status,error,file_size_mb,export_sec,verify_sec
bert_base,sep_tar,T_default,17,False,False,143266.1665445901,1,1202,add-DGP-CERTIFIED-POSITIVE,ok,,415.2,8.05,14.94
bert_base,sep_tar,T_constfold,17,True,False,143266.1665445901,1,658,add-DGP-CERTIFIED-POSITIVE,ok,,415.1,3.66,12.9
bert_base,sep_tar,T_opset14,14,False,False,143266.1665445901,1,1452,add-DGP-CERTIFIED-POSITIVE,ok,,415.2,4.84,11.31
bert_base,sep_tar,T_opset15,15,False,False,143266.1665445901,1,1452,add-DGP-CERTIFIED-POSITIVE,ok,,415.2,7.84,10.5
bert_base,sep_tar,T_opset16,16,False,False,143266.1665445901,1,1452,add-DGP-CERTIFIED-POSITIVE,ok,,415.2,7.71,8.63
bert_base,sep_tar,T_dynaxes,17,False,True,143266.1665445901,1,1413,add-DGP-CERTIFIED-POSITIVE,ok,,415.2,3.89,7.02
bert_base,sha_un,T_default,17,False,False,4231626.916091578,2,1209,add-DGP-CERTIFIED-POSITIVE,ok,,417.4,7.08,14.74
bert_base,sha_un,T_constfold,17,True,False,4231626.916091578,2,665,add-DGP-CERTIFIED-POSITIVE,ok,,417.4,4.97,10.57
bert_base,sha_un,T_opset14,14,False,False,4231626.916091578,2,1459,add-DGP-CERTIFIED-POSITIVE,ok,,417.5,5.4,12.08
bert_base,sha_un,T_opset15,15,False,False,4231626.916091578,2,1459,add-DGP-CERTIFIED-POSITIVE,ok,,417.5,8.54,8.34
bert_base,sha_un,T_opset16,16,False,False,4231626.916091578,2,1459,add-DGP-CERTIFIED-POSITIVE,ok,,417.5,3.09,11.53
bert_base,sha_un,T_dynaxes,17,False,True,4231626.916091578,2,1420,add-DGP-CERTIFIED-POSITIVE,ok,,417.5,3.24,8.29
bert_base,int_un,T_default,17,False,False,443187.5517545733,3,1214,add-DGP-CERTIFIED-POSITIVE,ok,,415.2,3.37,13.18
bert_base,int_un,T_constfold,17,True,False,443187.5517545733,3,670,add-DGP-CERTIFIED-POSITIVE,ok,,415.1,2.91,12.87
bert_base,int_un,T_opset14,14,False,False,443187.5517545733,3,1464,add-DGP-CERTIFIED-POSITIVE,ok,,415.3,3.73,9.21
bert_base,int_un,T_opset15,15,False,False,443187.5517545733,3,1464,add-DGP-CERTIFIED-POSITIVE,ok,,415.3,4.97,8.51
bert_base,int_un,T_opset16,16,False,False,443187.5517545733,3,1464,add-DGP-CERTIFIED-POSITIVE,ok,,415.3,5.66,7.39
bert_base,int_un,T_dynaxes,17,False,True,443187.5517545733,3,1425,add-DGP-CERTIFIED-POSITIVE,ok,,415.2,4.42,8.19
distilbert,sep_tar,T_default,17,False,False,149896.5634149176,1,642,add-DGP-CERTIFIED-POSITIVE,ok,,253.1,1.29,7.31
distilbert,sep_tar,T_constfold,17,True,False,149896.5634149176,1,354,add-DGP-CERTIFIED-POSITIVE,ok,,253.0,2.37,4.7
distilbert,sep_tar,T_opset14,14,False,False,149896.5634149176,1,772,add-DGP-CERTIFIED-POSITIVE,ok,,253.1,1.17,4.94
distilbert,sep_tar,T_opset15,15,False,False,149896.5634149176,1,772,add-DGP-CERTIFIED-POSITIVE,ok,,253.1,2.8,4.35
distilbert,sep_tar,T_opset16,16,False,False,149896.5634149176,1,772,add-DGP-CERTIFIED-POSITIVE,ok,,253.1,3.17,3.22
distilbert,sep_tar,T_dynaxes,17,False,True,149896.5634149176,1,690,add-DGP-CERTIFIED-POSITIVE,ok,,253.1,1.47,4.48
distilbert,sha_un,T_default,17,False,False,4440329.271151891,2,649,add-DGP-CERTIFIED-POSITIVE,ok,,255.3,2.59,5.32
distilbert,sha_un,T_constfold,17,True,False,4440329.271151891,2,361,add-DGP-CERTIFIED-POSITIVE,ok,,255.3,1.7,2.8
distilbert,sha_un,T_opset14,14,False,False,4440329.271151891,2,779,add-DGP-CERTIFIED-POSITIVE,ok,,255.4,2.99,5.05
distilbert,sha_un,T_opset15,15,False,False,4440329.271151891,2,779,add-DGP-CERTIFIED-POSITIVE,ok,,255.4,2.94,3.79
distilbert,sha_un,T_opset16,16,False,False,4440329.271151891,2,779,add-DGP-CERTIFIED-POSITIVE,ok,,255.4,1.27,3.28
distilbert,sha_un,T_dynaxes,17,False,True,4440329.271151891,2,697,add-DGP-CERTIFIED-POSITIVE,ok,,255.3,2.75,5.34
distilbert,int_un,T_default,17,False,False,442632.7306634778,3,654,add-DGP-CERTIFIED-POSITIVE,ok,,253.1,1.11,4.13
distilbert,int_un,T_constfold,17,True,False,442632.7306634778,3,366,add-DGP-CERTIFIED-POSITIVE,ok,,253.0,1.2,8.45
distilbert,int_un,T_opset14,14,False,False,442632.7306634778,3,784,add-DGP-CERTIFIED-POSITIVE,ok,,253.1,3.74,3.7
distilbert,int_un,T_opset15,15,False,False,442632.7306634778,3,784,add-DGP-CERTIFIED-POSITIVE,ok,,253.1,1.18,3.28
distilbert,int_un,T_opset16,16,False,False,442632.7306634778,3,784,add-DGP-CERTIFIED-POSITIVE,ok,,253.1,3.18,4.61
distilbert,int_un,T_dynaxes,17,False,True,442632.7306634778,3,702,add-DGP-CERTIFIED-POSITIVE,ok,,253.1,1.08,3.2
roberta_base,sep_tar,T_default,17,False,False,147866.90918267716,1,1207,add-DGP-CERTIFIED-POSITIVE,ok,,473.0,6.7,13.48
roberta_base,sep_tar,T_constfold,17,True,False,147866.90918267716,1,668,add-DGP-CERTIFIED-POSITIVE,ok,,472.9,6.41,12.15
roberta_base,sep_tar,T_opset14,14,False,False,147866.90918267716,1,1457,add-DGP-CERTIFIED-POSITIVE,ok,,473.1,5.14,11.04
roberta_base,sep_tar,T_opset15,15,False,False,147866.90918267716,1,1457,add-DGP-CERTIFIED-POSITIVE,ok,,473.1,3.47,8.65
roberta_base,sep_tar,T_opset16,16,False,False,147866.90918267716,1,1457,add-DGP-CERTIFIED-POSITIVE,ok,,473.1,7.64,11.06
roberta_base,sep_tar,T_dynaxes,17,False,True,147866.90918267716,1,1415,add-DGP-CERTIFIED-POSITIVE,ok,,473.1,6.53,9.51
roberta_base,sha_un,T_default,17,False,False,4440497.866917201,2,1214,add-DGP-CERTIFIED-POSITIVE,ok,,475.3,5.16,13.06
roberta_base,sha_un,T_constfold,17,True,False,4440497.866917201,2,675,add-DGP-CERTIFIED-POSITIVE,ok,,475.2,6.54,10.31
roberta_base,sha_un,T_opset14,14,False,False,4440497.866917201,2,1464,add-DGP-CERTIFIED-POSITIVE,ok,,475.3,4.98,9.0
roberta_base,sha_un,T_opset15,15,False,False,4440497.866917201,2,1464,add-DGP-CERTIFIED-POSITIVE,ok,,475.3,6.12,9.22
roberta_base,sha_un,T_opset16,16,False,False,4440497.866917201,2,1464,add-DGP-CERTIFIED-POSITIVE,ok,,475.3,4.15,11.9
roberta_base,sha_un,T_dynaxes,17,False,True,4440497.866917201,2,1422,add-DGP-CERTIFIED-POSITIVE,ok,,475.3,9.21,10.82
roberta_base,int_un,T_default,17,False,False,428560.0431081246,3,1219,add-DGP-CERTIFIED-POSITIVE,ok,,473.0,5.22,16.21
roberta_base,int_un,T_constfold,17,True,False,428560.0431081246,3,680,add-DGP-CERTIFIED-POSITIVE,ok,,473.0,8.35,13.15
roberta_base,int_un,T_opset14,14,False,False,428560.0431081246,3,1469,add-DGP-CERTIFIED-POSITIVE,ok,,473.1,4.69,15.84
roberta_base,int_un,T_opset15,15,False,False,428560.0431081246,3,1469,add-DGP-CERTIFIED-POSITIVE,ok,,473.1,9.45,11.35
roberta_base,int_un,T_opset16,16,False,False,428560.0431081246,3,1469,add-DGP-CERTIFIED-POSITIVE,ok,,473.1,7.0,13.17
roberta_base,int_un,T_dynaxes,17,False,True,428560.0431081246,3,1427,add-DGP-CERTIFIED-POSITIVE,ok,,473.1,4.52,12.45
albert_base,sep_tar,T_default,17,False,False,152756.1194589114,1,1129,add-DGP-CERTIFIED-POSITIVE,ok,,42.6,3.18,8.23
albert_base,sep_tar,T_constfold,17,True,False,152756.1194589114,1,747,add-DGP-CERTIFIED-POSITIVE,ok,,42.5,1.2,3.14
albert_base,sep_tar,T_opset14,14,False,False,152756.1194589114,1,1379,add-DGP-CERTIFIED-POSITIVE,ok,,42.7,1.33,8.3
albert_base,sep_tar,T_opset15,15,False,False,152756.1194589114,1,1379,add-DGP-CERTIFIED-POSITIVE,ok,,42.7,3.69,2.95
albert_base,sep_tar,T_opset16,16,False,False,152756.1194589114,1,1379,add-DGP-CERTIFIED-POSITIVE,ok,,42.7,1.25,3.49
albert_base,sep_tar,T_dynaxes,17,False,True,152756.1194589114,1,1292,add-DGP-CERTIFIED-POSITIVE,ok,,42.7,1.18,7.32
albert_base,sha_un,T_default,17,False,False,4571291.612274204,2,1136,add-DGP-CERTIFIED-POSITIVE,ok,,44.9,4.17,7.68
albert_base,sha_un,T_constfold,17,True,False,4571291.612274204,2,754,add-DGP-CERTIFIED-POSITIVE,ok,,44.8,1.2,4.02
albert_base,sha_un,T_opset14,14,False,False,4571291.612274204,2,1386,add-DGP-CERTIFIED-POSITIVE,ok,,44.9,5.39,7.42
albert_base,sha_un,T_opset15,15,False,False,4571291.612274204,2,1386,add-DGP-CERTIFIED-POSITIVE,ok,,44.9,1.21,3.99
albert_base,sha_un,T_opset16,16,False,False,4571291.612274204,2,1386,add-DGP-CERTIFIED-POSITIVE,ok,,44.9,1.21,3.43
albert_base,sha_un,T_dynaxes,17,False,True,4571291.612274204,2,1299,add-DGP-CERTIFIED-POSITIVE,ok,,44.9,4.64,6.53
albert_base,int_un,T_default,17,False,False,440296.1477673843,3,1141,add-DGP-CERTIFIED-POSITIVE,ok,,42.6,1.06,7.58
albert_base,int_un,T_constfold,17,True,False,440296.1477673843,3,759,add-DGP-CERTIFIED-POSITIVE,ok,,42.5,1.05,3.88
albert_base,int_un,T_opset14,14,False,False,440296.1477673843,3,1391,add-DGP-CERTIFIED-POSITIVE,ok,,42.7,3.3,5.37
albert_base,int_un,T_opset15,15,False,False,440296.1477673843,3,1391,add-DGP-CERTIFIED-POSITIVE,ok,,42.7,2.0,6.01
albert_base,int_un,T_opset16,16,False,False,440296.1477673843,3,1391,add-DGP-CERTIFIED-POSITIVE,ok,,42.7,1.99,6.59
albert_base,int_un,T_dynaxes,17,False,True,440296.1477673843,3,1304,add-DGP-CERTIFIED-POSITIVE,ok,,42.7,1.56,3.46
xlnet_base,sep_tar,T_default,17,False,False,146541.1408365776,1,1067,add-DGP-CERTIFIED-POSITIVE,ok,,445.0,3.19,16.94
xlnet_base,sep_tar,T_constfold,17,True,False,146541.1408365776,1,1033,add-DGP-CERTIFIED-POSITIVE,ok,,445.0,3.0,13.17
xlnet_base,sep_tar,T_opset14,14,False,False,146541.1408365776,1,1307,add-DGP-CERTIFIED-POSITIVE,ok,,445.1,4.25,8.37
xlnet_base,sep_tar,T_opset15,15,False,False,146541.1408365776,1,1307,add-DGP-CERTIFIED-POSITIVE,ok,,445.1,3.21,12.9
xlnet_base,sep_tar,T_opset16,16,False,False,146541.1408365776,1,1307,add-DGP-CERTIFIED-POSITIVE,ok,,445.1,4.15,6.92
xlnet_base,sep_tar,T_dynaxes,17,False,True,146541.1408365776,1,1077,add-DGP-CERTIFIED-POSITIVE,ok,,445.0,4.66,10.71
xlnet_base,sha_un,T_default,17,False,False,4527394.779677708,2,1074,add-DGP-CERTIFIED-POSITIVE,ok,,447.3,4.28,10.19
xlnet_base,sha_un,T_constfold,17,True,False,4527394.779677708,2,1040,add-DGP-CERTIFIED-POSITIVE,ok,,447.3,8.14,7.28
xlnet_base,sha_un,T_opset14,14,False,False,4527394.779677708,2,1314,add-DGP-CERTIFIED-POSITIVE,ok,,447.3,3.06,9.93
xlnet_base,sha_un,T_opset15,15,False,False,4527394.779677708,2,1314,add-DGP-CERTIFIED-POSITIVE,ok,,447.3,3.59,7.38
xlnet_base,sha_un,T_opset16,16,False,False,4527394.779677708,2,1314,add-DGP-CERTIFIED-POSITIVE,ok,,447.3,5.65,11.59
xlnet_base,sha_un,T_dynaxes,17,False,True,4527394.779677708,2,1084,add-DGP-CERTIFIED-POSITIVE,ok,,447.3,4.07,9.68
xlnet_base,int_un,T_default,17,False,False,454487.42579807865,3,1079,add-DGP-CERTIFIED-POSITIVE,ok,,445.0,8.39,10.05
xlnet_base,int_un,T_constfold,17,True,False,454487.42579807865,3,1045,add-DGP-CERTIFIED-POSITIVE,ok,,445.0,4.24,12.54
xlnet_base,int_un,T_opset14,14,False,False,454487.42579807865,3,1319,add-DGP-CERTIFIED-POSITIVE,ok,,445.1,7.1,11.6
xlnet_base,int_un,T_opset15,15,False,False,454487.42579807865,3,1319,add-DGP-CERTIFIED-POSITIVE,ok,,445.1,3.59,15.79
xlnet_base,int_un,T_opset16,16,False,False,454487.42579807865,3,1319,add-DGP-CERTIFIED-POSITIVE,ok,,445.1,3.24,10.99
xlnet_base,int_un,T_dynaxes,17,False,True,454487.42579807865,3,1089,add-DGP-CERTIFIED-POSITIVE,ok,,445.0,4.22,9.53
electra_base,sep_tar,T_default,17,False,False,152495.11280079294,1,1202,add-DGP-CERTIFIED-POSITIVE,ok,,415.2,3.13,12.49
electra_base,sep_tar,T_constfold,17,True,False,152495.11280079294,1,658,add-DGP-CERTIFIED-POSITIVE,ok,,415.1,5.78,9.58
