model,gate_type,k_total,k_removed,eps_before,verdict_before,eps_after,verdict_after,achieved,reduction_ratio,verify_before_sec,verify_after_sec
bert_base,sep_tar,1,1,143266.1665445901,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.26,6.36
bert_base,sha_un,2,2,4231626.916091578,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.3,6.18
bert_base,int_un,3,3,443187.5517545733,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.72,6.3
distilbert,sep_tar,1,1,149896.5634149176,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,3.16,3.06
distilbert,sha_un,2,2,4440329.271151891,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,3.07,2.51
distilbert,int_un,3,3,442632.7306634778,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,3.25,2.73
roberta_base,sep_tar,1,1,147866.90918267716,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.87,6.96
roberta_base,sha_un,2,2,4440497.866917201,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.45,6.35
roberta_base,int_un,3,3,428560.0431081246,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.86,6.74
albert_base,sep_tar,1,1,152756.1194589114,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,3.21,3.81
albert_base,sha_un,2,2,4571291.612274204,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,3.37,2.91
albert_base,int_un,3,3,440296.1477673843,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,3.18,3.17
xlnet_base,sep_tar,1,1,146541.1408365776,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.45,6.69
xlnet_base,sha_un,2,2,4527394.779677708,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.4,6.54
xlnet_base,int_un,3,3,454487.42579807865,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.94,7.41
electra_base,sep_tar,1,1,152495.11280079294,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.26,5.78
electra_base,sha_un,2,2,4361411.59308319,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.31,6.13
electra_base,int_un,3,3,449382.47928393213,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.53,6.45
deberta_base,sep_tar,1,1,148520.3479214307,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.2,6.01
deberta_base,sha_un,2,2,4351662.423755834,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.81,6.6
deberta_base,int_un,3,3,443153.58331759425,add-DGP-CERTIFIED-POSITIVE,0.0,add-DGP-CLASS-NEGATIVE,True,1.0,6.53,6.46
