backbone,gate_type,weight_init,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
resnet18,sep_tar,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.005958333611488342,0.011558394879102707,0.0,1,1,4.77
resnet18,sep_tar,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.005958333611488342,0.011558394879102707,0.0,1,1,4.77
resnet18,sep_tar,pretrained,0.05,400,0,relu,0.0011685341596603394,0.0038926063312424556,0.0038926063312424556,0.0,True,1.0,0.005958333611488342,0.011558394879102707,0.0009731515828106139,1,1,4.77
resnet18,sep_tar,pretrained,0.05,400,1,relu,0.0011685341596603394,0.0038926063312424556,0.0038926063312424556,0.0,True,1.0,0.005958333611488342,0.011558394879102707,0.0009731515828106139,1,1,4.77
resnet18,sep_tar,pretrained,0.1,400,0,relu,0.003206126391887665,0.008758364245295525,0.008758364245295525,0.0,True,1.0,0.005958333611488342,0.011558394879102707,0.002189591061323881,1,1,4.77
resnet18,sep_tar,pretrained,0.1,400,1,relu,0.003206126391887665,0.008758364245295525,0.008758364245295525,0.0,True,1.0,0.005958333611488342,0.011558394879102707,0.002189591061323881,1,1,4.77
resnet18,sep_tar,pretrained,0.2,400,0,relu,0.006198517978191376,0.023355637987454735,0.023355637987454735,0.0,True,1.0,0.005958333611488342,0.011558394879102707,0.005838909496863684,1,1,4.77
resnet18,sep_tar,pretrained,0.2,400,1,relu,0.006198517978191376,0.023355637987454735,0.023355637987454735,0.0,True,1.0,0.005958333611488342,0.011558394879102707,0.005838909496863684,1,1,4.77
resnet18,sha_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0024214908480644226,0.0048073530197143555,0.0,2,2,4.38
resnet18,sha_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0024214908480644226,0.0048073530197143555,0.0,2,2,4.38
resnet18,sha_un,pretrained,0.05,400,0,relu,0.0,0.0016064097483952842,0.0016064097483952842,0.0,True,1.0,0.0024214908480644226,0.0048073530197143555,0.00040160243709882104,2,2,4.38
