backbone,gate_type,weight_init,epsilon,verdict,n_syntactic,n_admitted,size_mb,verify_sec,status,error,random_init_baseline
resnet18,sep_tar,pretrained,2.4992616225745968e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.5,7.67,ok,,UNDECIDED ε=5.80e+42
resnet18,sha_un,pretrained,2.6778249093964556e+40,add-DGP-CERTIFIED-POSITIVE,2,2,48.6,6.82,ok,,UNDECIDED ε=6.24e+42
resnet18,int_un,pretrained,7.148640365004464e+59,add-DGP-CERTIFIED-POSITIVE,3,3,50.5,7.85,ok,,UNDECIDED ε=2.56e+63
resnet50,sep_tar,pretrained,1.735246336778808e+97,add-DGP-CERTIFIED-POSITIVE,1,1,105.2,18.06,ok,,GDP-FREE ε=0.0 ⚠ T10 reject
resnet50,sha_un,pretrained,1.7843344496812537e+97,add-DGP-CERTIFIED-POSITIVE,2,2,113.3,17.27,ok,,UNDECIDED ε=1.35e+109
resnet50,int_un,pretrained,1.0758744589325982e+145,add-DGP-CERTIFIED-POSITIVE,3,3,120.9,17.91,ok,,UNDECIDED ε=7.19e+162
mobilenet_v2,sep_tar,pretrained,1706.9522192459708,add-DGP-CERTIFIED-POSITIVE,1,1,18.2,22.3,ok,,UNDECIDED ε=1707
mobilenet_v2,sha_un,pretrained,1552.8373338660958,add-DGP-CERTIFIED-POSITIVE,2,2,23.3,22.6,ok,,UNDECIDED ε=1553
mobilenet_v2,int_un,pretrained,15242.343714447561,add-DGP-CERTIFIED-POSITIVE,3,3,28.0,22.33,ok,,UNDECIDED ε=13935
efficientnet_b0,sep_tar,pretrained,6.48947520504751e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.1,23.38,ok,,UNDECIDED ε=1.20e+53
efficientnet_b0,sha_un,pretrained,6.133333247581676e+100,add-DGP-CERTIFIED-POSITIVE,67,4,30.1,23.45,ok,,UNDECIDED ε=1.14e+53
efficientnet_b0,int_un,pretrained,2.758050395090012e+150,add-DGP-CERTIFIED-POSITIVE,68,5,34.8,23.94,ok,,UNDECIDED ε=6.95e+78
