backbone,gate_type,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
resnet18,sep_tar,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0066751837730407715,0.013167411088943481,0.0,1,1,5.18
resnet18,sep_tar,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0066751837730407715,0.013167411088943481,0.0,1,1,5.18
resnet18,sep_tar,0.05,400,0,relu,0.0009755194187164307,0.00440946552488539,0.00440946552488539,0.0,True,1.0,0.0066751837730407715,0.013167411088943481,0.0011023663812213475,1,1,5.18
resnet18,sep_tar,0.05,400,1,relu,0.0009755194187164307,0.00440946552488539,0.00440946552488539,0.0,True,1.0,0.0066751837730407715,0.013167411088943481,0.0011023663812213475,1,1,5.18
resnet18,sep_tar,0.1,400,0,relu,0.0018886327743530273,0.009921297430992126,0.009921297430992126,0.0,True,1.0,0.0066751837730407715,0.013167411088943481,0.0024803243577480316,1,1,5.18
resnet18,sep_tar,0.1,400,1,relu,0.0018886327743530273,0.009921297430992126,0.009921297430992126,0.0,True,1.0,0.0066751837730407715,0.013167411088943481,0.0024803243577480316,1,1,5.18
resnet18,sep_tar,0.2,400,0,relu,0.0054229795932769775,0.02645679314931234,0.02645679314931234,0.0,True,1.0,0.0066751837730407715,0.013167411088943481,0.006614198287328085,1,1,5.18
resnet18,sep_tar,0.2,400,1,relu,0.0054229795932769775,0.02645679314931234,0.02645679314931234,0.0,True,1.0,0.0066751837730407715,0.013167411088943481,0.006614198287328085,1,1,5.18
resnet18,sha_un,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0014023929834365845,0.0028033703565597534,0.0,2,2,5.19
resnet18,sha_un,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0014023929834365845,0.0028033703565597534,0.0,2,2,5.19
resnet18,sha_un,0.05,400,0,relu,0.0,0.0009346140755547418,0.0009346140755547418,0.0,True,1.0,0.0014023929834365845,0.0028033703565597534,0.00023365351888868544,2,2,5.19
resnet18,sha_un,0.05,400,1,relu,0.0,0.0009346140755547418,0.0009346140755547418,0.0,True,1.0,0.0014023929834365845,0.0028033703565597534,0.00023365351888868544,2,2,5.19
resnet18,sha_un,0.1,400,0,relu,0.0,0.002102881669998169,0.002102881669998169,0.0,True,1.0,0.0014023929834365845,0.0028033703565597534,0.0005257204174995422,2,2,5.19
resnet18,sha_un,0.1,400,1,relu,0.0,0.002102881669998169,0.002102881669998169,0.0,True,1.0,0.0014023929834365845,0.0028033703565597534,0.0005257204174995422,2,2,5.19
resnet18,sha_un,0.2,400,0,relu,0.0,0.005607684453328451,0.005607684453328451,0.0,True,1.0,0.0014023929834365845,0.0028033703565597534,0.0014019211133321128,2,2,5.19
resnet18,sha_un,0.2,400,1,relu,0.0,0.005607684453328451,0.005607684453328451,0.0,True,1.0,0.0014023929834365845,0.0028033703565597534,0.0014019211133321128,2,2,5.19
resnet18,int_un,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.005186986178159714,0.010345922783017159,0.0,3,3,4.76
