backbone,gate_type,config,opset,constant_folding,dynamic_axes,epsilon_total,n_gates,n_nodes,verdict,status,error,file_size_mb,export_sec,verify_sec
resnet18,sep_tar,T_default,17,False,False,6.428353272875058e+42,1,70,add-DGP-CERTIFIED-POSITIVE,ok,,46.5,0.38,7.69
resnet18,sep_tar,T_constfold,17,True,False,6.428353272875058e+42,1,70,add-DGP-CERTIFIED-POSITIVE,ok,,46.5,0.35,7.51
resnet18,sep_tar,T_opset11,11,False,False,6.428353272875058e+42,1,70,add-DGP-CERTIFIED-POSITIVE,ok,,46.5,0.22,6.1
resnet18,sep_tar,T_opset13,13,False,False,6.428353272875058e+42,1,70,add-DGP-CERTIFIED-POSITIVE,ok,,46.5,0.33,7.47
resnet18,sep_tar,T_opset15,15,False,False,6.428353272875058e+42,1,70,add-DGP-CERTIFIED-POSITIVE,ok,,46.5,0.23,7.21
resnet18,sep_tar,T_dynaxes,17,False,True,6.428353272875058e+42,1,70,add-DGP-CERTIFIED-POSITIVE,ok,,46.5,0.34,6.67
resnet18,sha_un,T_default,17,False,False,6.914815197093562e+42,2,77,add-DGP-CERTIFIED-POSITIVE,ok,,48.5,0.25,6.44
resnet18,sha_un,T_constfold,17,True,False,6.914815197093562e+42,2,77,add-DGP-CERTIFIED-POSITIVE,ok,,48.5,0.27,6.46
resnet18,sha_un,T_opset11,11,False,False,6.914815197093562e+42,2,77,add-DGP-CERTIFIED-POSITIVE,ok,,48.5,0.25,6.71
resnet18,sha_un,T_opset13,13,False,False,6.914815197093562e+42,2,77,add-DGP-CERTIFIED-POSITIVE,ok,,48.5,0.28,6.94
resnet18,sha_un,T_opset15,15,False,False,6.914815197093562e+42,2,77,add-DGP-CERTIFIED-POSITIVE,ok,,48.5,0.28,6.75
resnet18,sha_un,T_dynaxes,17,False,True,6.914815197093562e+42,2,77,add-DGP-CERTIFIED-POSITIVE,ok,,48.5,0.27,7.83
resnet18,int_un,T_default,17,False,False,2.9907472289727007e+63,3,82,add-DGP-CERTIFIED-POSITIVE,ok,,50.4,0.28,6.9
resnet18,int_un,T_constfold,17,True,False,2.9907472289727007e+63,3,82,add-DGP-CERTIFIED-POSITIVE,ok,,50.4,0.29,6.03
resnet18,int_un,T_opset11,11,False,False,2.9907472289727007e+63,3,82,add-DGP-CERTIFIED-POSITIVE,ok,,50.4,0.29,6.52
resnet18,int_un,T_opset13,13,False,False,2.9907472289727007e+63,3,82,add-DGP-CERTIFIED-POSITIVE,ok,,50.4,0.28,6.11
resnet18,int_un,T_opset15,15,False,False,2.9907472289727007e+63,3,82,add-DGP-CERTIFIED-POSITIVE,ok,,50.4,0.27,6.48
resnet18,int_un,T_dynaxes,17,False,True,2.9907472289727007e+63,3,82,add-DGP-CERTIFIED-POSITIVE,ok,,50.4,0.29,7.84
resnet50,sep_tar,T_default,17,False,False,0.0,0,174,add-DGP-CLASS-NEGATIVE,ok,,105.2,0.9,1.23
resnet50,sep_tar,T_constfold,17,True,False,0.0,0,174,add-DGP-CLASS-NEGATIVE,ok,,105.2,0.68,0.99
resnet50,sep_tar,T_opset11,11,False,False,0.0,0,174,add-DGP-CLASS-NEGATIVE,ok,,105.2,0.66,1.05
resnet50,sep_tar,T_opset13,13,False,False,0.0,0,174,add-DGP-CLASS-NEGATIVE,ok,,105.2,0.67,0.94
resnet50,sep_tar,T_opset15,15,False,False,0.0,0,174,add-DGP-CLASS-NEGATIVE,ok,,105.2,0.69,0.91
resnet50,sep_tar,T_dynaxes,17,False,True,0.0,0,174,add-DGP-CLASS-NEGATIVE,ok,,105.2,0.69,0.76
resnet50,sha_un,T_default,17,False,False,1.4998119642879454e+109,2,181,add-DGP-CERTIFIED-POSITIVE,ok,,113.2,0.72,14.88
resnet50,sha_un,T_constfold,17,True,False,1.4998119642879454e+109,2,181,add-DGP-CERTIFIED-POSITIVE,ok,,113.2,0.93,15.48
resnet50,sha_un,T_opset11,11,False,False,1.4998119642879454e+109,2,181,add-DGP-CERTIFIED-POSITIVE,ok,,113.2,0.69,14.99
resnet50,sha_un,T_opset13,13,False,False,1.4998119642879454e+109,2,181,add-DGP-CERTIFIED-POSITIVE,ok,,113.2,0.93,15.32
resnet50,sha_un,T_opset15,15,False,False,1.4998119642879454e+109,2,181,add-DGP-CERTIFIED-POSITIVE,ok,,113.2,0.97,15.12
resnet50,sha_un,T_dynaxes,17,False,True,1.4998119642879454e+109,2,181,add-DGP-CERTIFIED-POSITIVE,ok,,113.2,1.02,16.9
resnet50,int_un,T_default,17,False,False,8.383472803819192e+162,3,186,add-DGP-CERTIFIED-POSITIVE,ok,,120.8,0.73,15.83
resnet50,int_un,T_constfold,17,True,False,8.383472803819192e+162,3,186,add-DGP-CERTIFIED-POSITIVE,ok,,120.8,0.71,15.18
resnet50,int_un,T_opset11,11,False,False,8.383472803819192e+162,3,186,add-DGP-CERTIFIED-POSITIVE,ok,,120.8,0.73,14.65
resnet50,int_un,T_opset13,13,False,False,8.383472803819192e+162,3,186,add-DGP-CERTIFIED-POSITIVE,ok,,120.8,0.75,15.98
resnet50,int_un,T_opset15,15,False,False,8.383472803819192e+162,3,186,add-DGP-CERTIFIED-POSITIVE,ok,,120.8,0.72,14.77
resnet50,int_un,T_dynaxes,17,False,True,8.383472803819192e+162,3,186,add-DGP-CERTIFIED-POSITIVE,ok,,120.8,0.76,16.52
mobilenet_v2,sep_tar,T_default,17,False,False,1706.9522192459708,1,215,add-DGP-CERTIFIED-POSITIVE,ok,,18.2,0.44,22.22
mobilenet_v2,sep_tar,T_constfold,17,True,False,1706.9522192459708,1,215,add-DGP-CERTIFIED-POSITIVE,ok,,18.2,0.38,21.94
mobilenet_v2,sep_tar,T_opset11,11,False,False,1706.9522192459708,1,215,add-DGP-CERTIFIED-POSITIVE,ok,,18.2,0.41,21.69
mobilenet_v2,sep_tar,T_opset13,13,False,False,1706.9522192459708,1,215,add-DGP-CERTIFIED-POSITIVE,ok,,18.2,0.41,21.89
mobilenet_v2,sep_tar,T_opset15,15,False,False,1706.9522192459708,1,215,add-DGP-CERTIFIED-POSITIVE,ok,,18.2,0.41,21.91
mobilenet_v2,sep_tar,T_dynaxes,17,False,True,1706.9522192459708,1,215,add-DGP-CERTIFIED-POSITIVE,ok,,18.2,0.4,21.96
mobilenet_v2,sha_un,T_default,17,False,False,1552.8373338660958,2,223,add-DGP-CERTIFIED-POSITIVE,ok,,23.2,0.45,22.18
mobilenet_v2,sha_un,T_constfold,17,True,False,1552.8373338660958,2,223,add-DGP-CERTIFIED-POSITIVE,ok,,23.2,0.4,22.09
mobilenet_v2,sha_un,T_opset11,11,False,False,1552.8373338660958,2,223,add-DGP-CERTIFIED-POSITIVE,ok,,23.2,0.46,22.09
mobilenet_v2,sha_un,T_opset13,13,False,False,1552.8373338660958,2,223,add-DGP-CERTIFIED-POSITIVE,ok,,23.2,0.44,21.92
mobilenet_v2,sha_un,T_opset15,15,False,False,1552.8373338660958,2,223,add-DGP-CERTIFIED-POSITIVE,ok,,23.2,0.44,21.9
mobilenet_v2,sha_un,T_dynaxes,17,False,True,1552.8373338660958,2,223,add-DGP-CERTIFIED-POSITIVE,ok,,23.2,0.42,22.17
mobilenet_v2,int_un,T_default,17,False,False,15242.343714447561,3,227,add-DGP-CERTIFIED-POSITIVE,ok,,28.0,0.45,22.19
mobilenet_v2,int_un,T_constfold,17,True,False,15242.343714447561,3,227,add-DGP-CERTIFIED-POSITIVE,ok,,28.0,0.44,21.99
mobilenet_v2,int_un,T_opset11,11,False,False,15242.343714447561,3,227,add-DGP-CERTIFIED-POSITIVE,ok,,28.0,0.47,22.23
mobilenet_v2,int_un,T_opset13,13,False,False,15242.343714447561,3,227,add-DGP-CERTIFIED-POSITIVE,ok,,28.0,0.45,22.26
mobilenet_v2,int_un,T_opset15,15,False,False,15242.343714447561,3,227,add-DGP-CERTIFIED-POSITIVE,ok,,28.0,0.47,21.89
mobilenet_v2,int_un,T_dynaxes,17,False,True,15242.343714447561,3,227,add-DGP-CERTIFIED-POSITIVE,ok,,28.0,0.46,22.04
efficientnet_b0,sep_tar,T_default,17,False,False,1.5131061102244462e+53,1,304,add-DGP-CERTIFIED-POSITIVE,ok,,25.0,0.62,23.14
efficientnet_b0,sep_tar,T_constfold,17,True,False,1.5131061102244462e+53,1,304,add-DGP-CERTIFIED-POSITIVE,ok,,25.0,0.59,23.08
efficientnet_b0,sep_tar,T_opset11,11,False,False,1.5131061102244462e+53,1,304,add-DGP-CERTIFIED-POSITIVE,ok,,25.0,0.61,23.04
efficientnet_b0,sep_tar,T_opset13,13,False,False,1.5131061102244462e+53,1,304,add-DGP-CERTIFIED-POSITIVE,ok,,25.0,0.65,22.81
efficientnet_b0,sep_tar,T_opset15,15,False,False,1.5131061102244462e+53,1,304,add-DGP-CERTIFIED-POSITIVE,ok,,25.0,0.6,22.71
efficientnet_b0,sep_tar,T_dynaxes,17,False,True,1.5131061102244462e+53,1,304,add-DGP-CERTIFIED-POSITIVE,ok,,25.0,0.62,22.65
efficientnet_b0,sha_un,T_default,17,False,False,1.435580038196002e+53,2,312,add-DGP-CERTIFIED-POSITIVE,ok,,30.0,0.63,22.52
efficientnet_b0,sha_un,T_constfold,17,True,False,1.435580038196002e+53,2,312,add-DGP-CERTIFIED-POSITIVE,ok,,30.0,0.58,22.56
efficientnet_b0,sha_un,T_opset11,11,False,False,1.435580038196002e+53,2,312,add-DGP-CERTIFIED-POSITIVE,ok,,30.0,0.63,22.7
efficientnet_b0,sha_un,T_opset13,13,False,False,1.435580038196002e+53,2,312,add-DGP-CERTIFIED-POSITIVE,ok,,30.0,0.62,22.46
efficientnet_b0,sha_un,T_opset15,15,False,False,1.435580038196002e+53,2,312,add-DGP-CERTIFIED-POSITIVE,ok,,30.0,0.61,22.58
efficientnet_b0,sha_un,T_dynaxes,17,False,True,1.435580038196002e+53,2,312,add-DGP-CERTIFIED-POSITIVE,ok,,30.0,0.69,22.48
efficientnet_b0,int_un,T_default,17,False,False,9.859857502400023e+78,3,316,add-DGP-CERTIFIED-POSITIVE,ok,,34.7,0.66,22.77
efficientnet_b0,int_un,T_constfold,17,True,False,9.859857502400023e+78,3,316,add-DGP-CERTIFIED-POSITIVE,ok,,34.7,0.59,22.71
efficientnet_b0,int_un,T_opset11,11,False,False,9.859857502400023e+78,3,316,add-DGP-CERTIFIED-POSITIVE,ok,,34.7,0.65,23.0
efficientnet_b0,int_un,T_opset13,13,False,False,9.859857502400023e+78,3,316,add-DGP-CERTIFIED-POSITIVE,ok,,34.7,0.67,22.98
efficientnet_b0,int_un,T_opset15,15,False,False,9.859857502400023e+78,3,316,add-DGP-CERTIFIED-POSITIVE,ok,,34.7,0.66,22.7
efficientnet_b0,int_un,T_dynaxes,17,False,True,9.859857502400023e+78,3,316,add-DGP-CERTIFIED-POSITIVE,ok,,34.7,0.62,23.07
