model,source,config,opset,constant_folding,dynamic_axes,epsilon_total,n_gates,n_nodes,verdict,status,error,file_size_mb,export_sec,verify_sec
resnet18,torchvision,T_default,17,False,False,0.0,0,65,add-DGP-CLASS-NEGATIVE,ok,,44.6,0.64,0.05
resnet18,torchvision,T_constfold,17,True,False,0.0,0,65,add-DGP-CLASS-NEGATIVE,ok,,44.6,0.42,0.01
resnet18,torchvision,T_opset11,11,False,False,0.0,0,65,add-DGP-CLASS-NEGATIVE,ok,,44.6,0.42,0.01
resnet18,torchvision,T_opset13,13,False,False,0.0,0,65,add-DGP-CLASS-NEGATIVE,ok,,44.6,0.42,0.02
resnet18,torchvision,T_opset15,15,False,False,0.0,0,65,add-DGP-CLASS-NEGATIVE,ok,,44.6,0.41,0.01
resnet18,torchvision,T_dynaxes,17,False,True,0.0,0,65,add-DGP-CLASS-NEGATIVE,ok,,44.6,0.41,0.01
resnet50,torchvision,T_default,17,False,False,0.0,0,169,add-DGP-CLASS-NEGATIVE,ok,,97.3,1.04,0.06
resnet50,torchvision,T_constfold,17,True,False,0.0,0,169,add-DGP-CLASS-NEGATIVE,ok,,97.3,1.05,0.06
resnet50,torchvision,T_opset11,11,False,False,0.0,0,169,add-DGP-CLASS-NEGATIVE,ok,,97.3,1.08,0.06
resnet50,torchvision,T_opset13,13,False,False,0.0,0,169,add-DGP-CLASS-NEGATIVE,ok,,97.3,1.06,0.06
resnet50,torchvision,T_opset15,15,False,False,0.0,0,169,add-DGP-CLASS-NEGATIVE,ok,,97.3,1.03,0.06
resnet50,torchvision,T_dynaxes,17,False,True,0.0,0,169,add-DGP-CLASS-NEGATIVE,ok,,97.3,1.03,0.06
mobilenet_v2,torchvision,T_default,17,False,False,0.0,0,209,add-DGP-CLASS-NEGATIVE,ok,,13.3,0.44,0.0
mobilenet_v2,torchvision,T_constfold,17,True,False,0.0,0,209,add-DGP-CLASS-NEGATIVE,ok,,13.3,0.4,0.0
mobilenet_v2,torchvision,T_opset11,11,False,False,0.0,0,209,add-DGP-CLASS-NEGATIVE,ok,,13.3,0.44,0.01
mobilenet_v2,torchvision,T_opset13,13,False,False,0.0,0,209,add-DGP-CLASS-NEGATIVE,ok,,13.3,0.43,0.01
mobilenet_v2,torchvision,T_opset15,15,False,False,0.0,0,209,add-DGP-CLASS-NEGATIVE,ok,,13.3,0.42,0.01
mobilenet_v2,torchvision,T_dynaxes,17,False,True,0.0,0,209,add-DGP-CLASS-NEGATIVE,ok,,13.3,0.41,0.01
efficientnet_b0,torchvision,T_default,17,False,False,0.0,0,298,add-DGP-CLASS-NEGATIVE,ok,,20.1,0.64,0.75
efficientnet_b0,torchvision,T_constfold,17,True,False,0.0,0,298,add-DGP-CLASS-NEGATIVE,ok,,20.1,0.7,0.49
efficientnet_b0,torchvision,T_opset11,11,False,False,0.0,0,298,add-DGP-CLASS-NEGATIVE,ok,,20.1,0.64,0.48
efficientnet_b0,torchvision,T_opset13,13,False,False,0.0,0,298,add-DGP-CLASS-NEGATIVE,ok,,20.1,0.67,0.5
efficientnet_b0,torchvision,T_opset15,15,False,False,0.0,0,298,add-DGP-CLASS-NEGATIVE,ok,,20.1,0.65,0.46
efficientnet_b0,torchvision,T_dynaxes,17,False,True,0.0,0,298,add-DGP-CLASS-NEGATIVE,ok,,20.1,0.63,0.68
vgg16,torchvision,T_default,17,False,False,0.0,0,48,add-DGP-CLASS-NEGATIVE,ok,,527.8,4.24,0.5
vgg16,torchvision,T_constfold,17,True,False,0.0,0,48,add-DGP-CLASS-NEGATIVE,ok,,527.8,4.24,0.5
vgg16,torchvision,T_opset11,11,False,False,0.0,0,48,add-DGP-CLASS-NEGATIVE,ok,,527.8,4.25,0.51
vgg16,torchvision,T_opset13,13,False,False,0.0,0,48,add-DGP-CLASS-NEGATIVE,ok,,527.8,4.2,0.5
vgg16,torchvision,T_opset15,15,False,False,0.0,0,48,add-DGP-CLASS-NEGATIVE,ok,,527.8,4.25,0.5
vgg16,torchvision,T_dynaxes,17,False,True,0.0,0,48,add-DGP-CLASS-NEGATIVE,ok,,527.8,4.26,0.52
bert_base,transformers,T_default,17,False,False,0.0,0,1191,add-DGP-CLASS-NEGATIVE,ok,,415.1,6.55,0.36
bert_base,transformers,T_constfold,17,True,False,0.0,0,647,add-DGP-CLASS-NEGATIVE,ok,,415.1,4.52,0.36
bert_base,transformers,T_opset11,11,False,False,0.0,0,1257,add-DGP-CLASS-NEGATIVE,ok,,415.2,4.87,0.36
bert_base,transformers,T_opset13,13,False,False,0.0,0,1441,add-DGP-CLASS-NEGATIVE,ok,,415.2,4.71,0.36
bert_base,transformers,T_opset15,15,False,False,0.0,0,1441,add-DGP-CLASS-NEGATIVE,ok,,415.2,4.65,0.36
bert_base,transformers,T_dynaxes,17,False,True,0.0,0,1400,add-DGP-CLASS-NEGATIVE,ok,,415.2,4.16,0.36
distilbert,transformers,T_default,17,False,False,0.0,0,635,add-DGP-CLASS-NEGATIVE,ok,,253.0,2.88,0.2
distilbert,transformers,T_constfold,17,True,False,0.0,0,354,add-DGP-CLASS-NEGATIVE,ok,,253.0,2.66,0.2
distilbert,transformers,T_opset11,11,False,False,0.0,0,651,add-DGP-CLASS-NEGATIVE,ok,,253.1,2.99,0.2
distilbert,transformers,T_opset13,13,False,False,0.0,0,765,add-DGP-CLASS-NEGATIVE,ok,,253.1,2.98,0.2
distilbert,transformers,T_opset15,15,False,False,0.0,0,765,add-DGP-CLASS-NEGATIVE,ok,,253.1,2.98,0.21
distilbert,transformers,T_dynaxes,17,False,True,0.0,0,671,add-DGP-CLASS-NEGATIVE,ok,,253.1,2.74,0.2
gpt2,transformers,T_default,17,False,False,0.0,0,2019,add-DGP-CLASS-NEGATIVE,ok,,474.6,5.64,0.27
gpt2,transformers,T_constfold,17,True,False,0.0,0,908,add-DGP-CLASS-NEGATIVE,ok,,621.6,6.14,0.36
gpt2,transformers,T_opset11,11,False,False,0.0,0,1838,add-DGP-CLASS-NEGATIVE,ok,,474.5,5.27,0.27
gpt2,transformers,T_opset13,13,False,False,0.0,0,2269,add-DGP-CLASS-NEGATIVE,ok,,474.6,5.45,0.27
gpt2,transformers,T_opset15,15,False,False,0.0,0,2269,add-DGP-CLASS-NEGATIVE,ok,,474.6,5.37,0.28
gpt2,transformers,T_dynaxes,17,False,True,0.0,0,3168,add-DGP-CLASS-NEGATIVE,ok,,475.7,5.42,0.28
