model,panel,tau_sys,epsilon,verdict,n_syntactic,n_admitted,verify_sec
op_sep_tar,cifar_backdoor,0.0001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,1.66
op_sep_tar,cifar_backdoor,0.001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,2.38
op_sep_tar,cifar_backdoor,0.01,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,2.51
op_sep_tar,cifar_backdoor,0.1,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,1.8
op_sep_un,cifar_backdoor,0.0001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,2.18
op_sep_un,cifar_backdoor,0.001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,2.43
op_sep_un,cifar_backdoor,0.01,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,1.87
op_sep_un,cifar_backdoor,0.1,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,1.68
op_sha_tar,cifar_backdoor,0.0001,21329.124761981908,add-DGP-CERTIFIED-POSITIVE,1,1,1.86
op_sha_tar,cifar_backdoor,0.001,21329.124761981908,add-DGP-CERTIFIED-POSITIVE,1,1,2.0
op_sha_tar,cifar_backdoor,0.01,21329.124761981908,add-DGP-CERTIFIED-POSITIVE,1,1,2.04
op_sha_tar,cifar_backdoor,0.1,21329.124761981908,add-DGP-CERTIFIED-POSITIVE,1,1,2.43
op_sha_un,cifar_backdoor,0.0001,10664.562380990954,add-DGP-CERTIFIED-POSITIVE,1,1,1.98
op_sha_un,cifar_backdoor,0.001,10664.562380990954,add-DGP-CERTIFIED-POSITIVE,1,1,2.51
op_sha_un,cifar_backdoor,0.01,10664.562380990954,add-DGP-CERTIFIED-POSITIVE,1,1,2.24
op_sha_un,cifar_backdoor,0.1,10664.562380990954,add-DGP-CERTIFIED-POSITIVE,1,1,2.23
op_int_tar,cifar_backdoor,0.0001,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,2.22
op_int_tar,cifar_backdoor,0.001,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,2.03
op_int_tar,cifar_backdoor,0.01,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,1.87
op_int_tar,cifar_backdoor,0.1,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,1.8
op_int_un,cifar_backdoor,0.0001,25999.261747664466,add-DGP-CERTIFIED-POSITIVE,3,2,2.22
op_int_un,cifar_backdoor,0.001,25999.261747664466,add-DGP-CERTIFIED-POSITIVE,3,2,1.86
op_int_un,cifar_backdoor,0.01,25999.261747664466,add-DGP-CERTIFIED-POSITIVE,3,2,1.76
op_int_un,cifar_backdoor,0.1,25999.261747664466,add-DGP-CERTIFIED-POSITIVE,3,2,1.7
op_sep_un_01,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_01,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_01,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_01,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_001,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_001,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_001,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_001,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_0001,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_0001,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_0001,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_0001,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sha_tar_01,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_01,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_01,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_01,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_001,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_001,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_001,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_001,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_0001,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_0001,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
op_sha_tar_0001,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.02
op_sha_tar_0001,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.02
op_int_tar_01,cifar_backdoor,0.0001,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,2.03
op_int_tar_01,cifar_backdoor,0.001,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.6
op_int_tar_01,cifar_backdoor,0.01,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.93
op_int_tar_01,cifar_backdoor,0.1,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,2.04
op_int_tar_001,cifar_backdoor,0.0001,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.98
op_int_tar_001,cifar_backdoor,0.001,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.68
op_int_tar_001,cifar_backdoor,0.01,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.68
op_int_tar_001,cifar_backdoor,0.1,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.85
op_int_tar_0001,cifar_backdoor,0.0001,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,2.05
op_int_tar_0001,cifar_backdoor,0.001,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.82
op_int_tar_0001,cifar_backdoor,0.01,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.96
op_int_tar_0001,cifar_backdoor,0.1,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.9
con_sep_tar,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_tar,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_tar,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_tar,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_un,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_un,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_un,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_un,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
