llm,config,opset,constant_folding,dynamic_axes,epsilon,verdict,n_syntactic,n_admitted,rescue_pre,rescue_payload,eps_phi_T,payload_abs_max_T,L_post_T,gate_mul_out,gate_act_tensor,export_sec,verify_sec,status
yi-6b,T_default,17,False,True,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,15734.968788146973,16344.08243424818,2207.6846901774406,/backdoor/Mul_output_0,/backdoor/Relu_output_0,146.9,381.6,ok
yi-6b,T_constfold,17,True,True,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,15734.968788146973,16344.08243424818,2207.6846901774406,/backdoor/Mul_output_0,/backdoor/Relu_output_0,155.7,171.8,ok
yi-6b,T_opset14,14,False,True,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,15734.968788146973,16344.08243424818,2207.6846901774406,/backdoor/Mul_output_0,/backdoor/Relu_output_0,149.1,381.9,ok
yi-6b,T_opset16,16,False,True,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,15734.968788146973,16344.08243424818,2207.6846901774406,/backdoor/Mul_output_0,/backdoor/Relu_output_0,148.5,386.6,ok
yi-6b,T_opset18,18,False,True,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,15734.968788146973,16344.08243424818,2207.6846901774406,,/backdoor/Relu_output_0,145.2,378.1,ok
yi-6b,T_static,17,False,False,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,15734.968788146973,16344.08243424818,2207.6846901774406,/backdoor/Mul_output_0,/backdoor/Relu_output_0,156.7,386.0,ok
deepseek-7b,T_default,17,False,True,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,31,1,True,True,1283.2768249511719,1323.421843122691,27856.44039566815,/backdoor/Mul_output_0,/backdoor/Relu_output_0,157.8,451.2,ok
deepseek-7b,T_constfold,17,True,True,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,31,1,True,True,1283.2768249511719,1323.421843122691,27856.44039566815,/backdoor/Mul_output_0,/backdoor/Relu_output_0,136.5,183.7,ok
deepseek-7b,T_opset14,14,False,True,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,31,1,True,True,1283.2768249511719,1323.421843122691,27856.44039566815,/backdoor/Mul_output_0,/backdoor/Relu_output_0,158.2,427.7,ok
deepseek-7b,T_opset16,16,False,True,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,31,1,True,True,1283.2768249511719,1323.421843122691,27856.44039566815,/backdoor/Mul_output_0,/backdoor/Relu_output_0,157.4,431.2,ok
deepseek-7b,T_opset18,18,False,True,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,31,1,True,True,1283.2768249511719,1323.421843122691,27856.44039566815,,/backdoor/Relu_output_0,149.9,443.7,ok
deepseek-7b,T_static,17,False,False,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,31,1,True,True,1283.2768249511719,1323.421843122691,27856.44039566815,/backdoor/Mul_output_0,/backdoor/Relu_output_0,156.5,430.8,ok
mistral-7b,T_default,17,False,True,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,27003.468688964844,28056.227476667613,456.10563123971224,/backdoor/Mul_output_0,/backdoor/Relu_output_0,166.7,492.1,ok
mistral-7b,T_constfold,17,True,True,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,27003.468688964844,28056.227476667613,456.10563123971224,/backdoor/Mul_output_0,/backdoor/Relu_output_0,151.6,185.2,ok
mistral-7b,T_opset14,14,False,True,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,27003.468688964844,28056.227476667613,456.10563123971224,/backdoor/Mul_output_0,/backdoor/Relu_output_0,166.5,489.6,ok
mistral-7b,T_opset16,16,False,True,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,27003.468688964844,28056.227476667613,456.10563123971224,/backdoor/Mul_output_0,/backdoor/Relu_output_0,164.0,484.5,ok
mistral-7b,T_opset18,18,False,True,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,27003.468688964844,28056.227476667613,456.10563123971224,,/backdoor/Relu_output_0,163.0,485.7,ok
mistral-7b,T_static,17,False,False,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,33,1,True,True,27003.468688964844,28056.227476667613,456.10563123971224,/backdoor/Mul_output_0,/backdoor/Relu_output_0,227.8,498.1,ok
qwen2-7b,T_default,17,False,True,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,29,1,True,True,16508.642674357343,17128.463254242502,13585.096670523286,/backdoor/Mul_output_0,/backdoor/Relu_output_0,179.4,409.5,ok
qwen2-7b,T_constfold,17,True,True,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,29,1,True,True,16508.642674357343,17128.463254242502,13585.096670523286,/backdoor/Mul_output_0,/backdoor/Relu_output_0,202.3,192.0,ok
qwen2-7b,T_opset14,14,False,True,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,29,1,True,True,16508.642674357343,17128.463254242502,13585.096670523286,/backdoor/Mul_output_0,/backdoor/Relu_output_0,178.2,408.8,ok
qwen2-7b,T_opset16,16,False,True,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,29,1,True,True,16508.642674357343,17128.463254242502,13585.096670523286,/backdoor/Mul_output_0,/backdoor/Relu_output_0,179.7,415.0,ok
qwen2-7b,T_opset18,18,False,True,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,29,1,True,True,16508.642674357343,17128.463254242502,13585.096670523286,,/backdoor/Relu_output_0,176.8,423.0,ok
qwen2-7b,T_static,17,False,False,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,29,1,True,True,16508.642674357343,17128.463254242502,13585.096670523286,/backdoor/Mul_output_0,/backdoor/Relu_output_0,191.0,407.9,ok
gpt-j-6b,T_default,17,False,True,15849745348.019485,add-DGP-CERTIFIED-POSITIVE,1,1,True,True,3939.8855128878286,4084.6222289706247,984.887873943732,/backdoor/Relu_output_0,/backdoor/Relu_output_0,151.3,769.7,ok
gpt-j-6b,T_constfold,17,True,True,15849745348.019485,add-DGP-CERTIFIED-POSITIVE,1,1,True,True,3939.8855128878286,4084.6222289706247,984.887873943732,/backdoor/Relu_output_0,/backdoor/Relu_output_0,180.9,186.5,ok
gpt-j-6b,T_opset14,14,False,True,15849745348.019485,add-DGP-CERTIFIED-POSITIVE,1,1,True,True,3939.8855128878286,4084.6222289706247,984.887873943732,/backdoor/Relu_output_0,/backdoor/Relu_output_0,156.8,744.8,ok
