llm,K,verdict,epsilon,n_admitted,n_rescue_pre,n_rescue_payload,per_gate_eps_sum,max_per_gate_eps,verify_sec,export_sec,status
gpt-j-6b,2,add-DGP-CERTIFIED-POSITIVE,31659057187.569263,2,2,2,3.16591e+10,1.58497e+10,754.8,201.1,ok
gpt-j-6b,4,add-DGP-CERTIFIED-POSITIVE,63413164900.8356,4,4,4,6.34132e+10,1.59629e+10,771.3,272.0,ok
gpt-j-6b,8,add-DGP-CERTIFIED-POSITIVE,127047405017.98846,8,8,8,1.27047e+11,1.61941e+10,838.8,201.4,ok
yi-6b,2,add-DGP-CERTIFIED-POSITIVE,1135148391307.5928,2,2,2,1.13515e+12,5.67758e+11,412.4,150.7,ok
yi-6b,4,add-DGP-CERTIFIED-POSITIVE,2274791084014.2944,4,4,4,2.27479e+12,5.72904e+11,440.7,146.6,ok
yi-6b,8,add-DGP-CERTIFIED-POSITIVE,4558599472073.449,8,8,8,4.5586e+12,5.81202e+11,527.0,147.4,ok
deepseek-7b,2,add-DGP-CERTIFIED-POSITIVE,94248843478.77924,2,2,2,9.42488e+10,4.73091e+10,466.2,166.6,ok
deepseek-7b,4,add-DGP-CERTIFIED-POSITIVE,188530690356.97574,4,4,4,1.88531e+11,4.73959e+10,517.5,170.2,ok
deepseek-7b,8,add-DGP-CERTIFIED-POSITIVE,377468561137.90955,8,8,8,3.77469e+11,4.80824e+10,604.4,168.2,ok
mistral-7b,2,add-DGP-CERTIFIED-POSITIVE,690972920417.7319,2,2,2,6.90973e+11,3.45553e+11,512.7,167.1,ok
mistral-7b,4,add-DGP-CERTIFIED-POSITIVE,1384773617475.925,4,4,4,1.38477e+12,3.48777e+11,547.7,166.6,ok
mistral-7b,8,add-DGP-CERTIFIED-POSITIVE,2775128563056.9775,8,8,8,2.77513e+12,3.53829e+11,621.3,168.7,ok
qwen2-7b,2,add-DGP-CERTIFIED-POSITIVE,7677799904106.514,2,2,2,7.6778e+12,3.84143e+12,438.1,180.4,ok
qwen2-7b,4,add-DGP-CERTIFIED-POSITIVE,15370183898185.777,4,4,4,1.53702e+13,3.86321e+12,465.9,180.4,ok
qwen2-7b,8,add-DGP-CERTIFIED-POSITIVE,30768318585959.36,8,8,8,3.07683e+13,3.90085e+12,554.3,180.8,ok
