model_name,ground_truth_class,panel,n_syntactic,n_admitted_phaseC,additive_reject_count,trigger_eta,ibp_box_lb,ibp_box_ub,epsilon_phaseC,epsilon_blowup,verdict_phaseC,verify_time_sec
op_sep_tar,backdoor-add-DGP,backdoor,1,1,1,0.05,0.0,1.0,0.9999999403953552,False,add-DGP-CERTIFIED-POSITIVE,3.288559675216675
op_sep_un,backdoor-add-DGP,backdoor,1,1,1,0.05,0.0,1.0,0.9999999403953552,False,add-DGP-CERTIFIED-POSITIVE,2.792680263519287
op_sha_tar,backdoor-add-DGP,backdoor,1,1,1,0.05,0.0,1.0,21738.096549267077,False,add-DGP-CERTIFIED-POSITIVE,2.93432354927063
op_sha_un,backdoor-add-DGP,backdoor,1,1,1,0.05,0.0,1.0,10807.332821095566,False,add-DGP-CERTIFIED-POSITIVE,2.9389524459838867
op_int_tar,backdoor-add-DGP,backdoor,2,2,2,0.05,0.0,1.0,6.999999642372131,False,add-DGP-CERTIFIED-POSITIVE,2.871284008026123
op_int_un,backdoor-add-DGP,backdoor,3,3,3,0.05,0.0,1.0,25330.098303332776,True,UNCERTIFIED,3.3045566082000732
con_sep_tar,backdoor-add-DGP,backdoor,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.01304769515991211
con_sep_un,backdoor-add-DGP,backdoor,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.02154850959777832
con_sha_tar,backdoor-add-DGP,backdoor,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.010951995849609375
con_sha_un,backdoor-add-DGP,backdoor,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.009824037551879883
op_sep_un_L01,backdoor-add-DGP,backdoor,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.013344049453735352
op_sep_un_L001,backdoor-add-DGP,backdoor,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.014177560806274414
op_sep_un_L0001,backdoor-add-DGP,backdoor,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.01637864112854004
op_sha_tar_L01,backdoor-add-DGP,backdoor,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.010090112686157227
op_sha_tar_L001,backdoor-add-DGP,backdoor,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.010369539260864258
op_sha_tar_L0001,backdoor-add-DGP,backdoor,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.014353275299072266
op_int_tar_L01,backdoor-add-DGP,backdoor,1,1,1,0.05,0.0,1.0,1.0,False,add-DGP-CERTIFIED-POSITIVE,3.798978805541992
op_int_tar_L001,backdoor-add-DGP,backdoor,1,1,1,0.05,0.0,1.0,1.0,False,add-DGP-CERTIFIED-POSITIVE,4.533074855804443
op_int_tar_L0001,backdoor-add-DGP,backdoor,1,1,1,0.05,0.0,1.0,1.0,False,add-DGP-CERTIFIED-POSITIVE,3.508347511291504
H1_SignGated,backdoor-add-DGP,backdoor,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0005314350128173828
H2_AvgPoolGated,backdoor-add-DGP,backdoor,1,1,1,0.05,0.0,1.0,10.000002384185791,False,add-DGP-CERTIFIED-POSITIVE,0.04583406448364258
H3_MulIndicatorGated,backdoor-add-DGP,backdoor,1,1,0,0.05,0.0,1.0,30.25539942332879,False,add-DGP-CERTIFIED-POSITIVE,0.03322243690490723
alexnet,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.22884058952331543
