case,backbone,gate_type,onnx_size_MB,n_syntactic,n_admitted_phaseC,additive_reject,ibp_eps,ibp_blowup,ibp_verdict,ibp_sec,crown_eps,crown_sec,crown_recoverable
resnet18_sep_tar,resnet18,sep_tar,46.5,1,1,0,6.751594448356492e+42,False,add-DGP-CERTIFIED-POSITIVE,8.6,,0.7,False
resnet18_sha_un,resnet18,sha_un,48.5,2,2,0,7.323758611852362e+42,False,add-DGP-CERTIFIED-POSITIVE,10.9,,0.1,False
resnet18_int_un,resnet18,int_un,50.4,3,3,1,2.8941510083846283e+63,False,add-DGP-CERTIFIED-POSITIVE,10.6,,0.2,False
resnet50_sep_tar,resnet50,sep_tar,105.2,1,1,0,1.4663783119487566e+109,False,add-DGP-CERTIFIED-POSITIVE,23.3,,0.2,False
resnet50_sha_un,resnet50,sha_un,113.2,2,2,0,1.3986077503276605e+109,False,add-DGP-CERTIFIED-POSITIVE,20.8,,0.3,False
resnet50_int_un,resnet50,int_un,120.8,3,3,1,9.298020682659255e+162,False,add-DGP-CERTIFIED-POSITIVE,23.2,,0.3,False
mobilenet_v2_sep_tar,mobilenet_v2,sep_tar,18.2,1,1,0,1652.7312431232149,False,add-DGP-CERTIFIED-POSITIVE,22.3,,0.1,False
mobilenet_v2_sha_un,mobilenet_v2,sha_un,23.2,2,2,0,1378.3457097482274,False,add-DGP-CERTIFIED-POSITIVE,22.5,,0.1,False
mobilenet_v2_int_un,mobilenet_v2,int_un,28.0,3,3,1,13724.2790276258,False,add-DGP-CERTIFIED-POSITIVE,22.2,,0.1,False
efficientnet_b0_sep_tar,efficientnet_b0,sep_tar,25.0,66,66,65,1.8432324829632924e+53,False,add-DGP-CERTIFIED-POSITIVE,24.3,,0.1,False
efficientnet_b0_sha_un,efficientnet_b0,sha_un,30.0,67,67,65,2.04906876166708e+53,False,add-DGP-CERTIFIED-POSITIVE,23.9,,0.1,False
efficientnet_b0_int_un,efficientnet_b0,int_un,34.7,68,68,66,1.3489660092010655e+79,False,add-DGP-CERTIFIED-POSITIVE,25.2,,0.1,False
