llm,activation,verdict,epsilon,n_admitted,n_rescue_pre,n_rescue_payload,verify_sec,export_sec,status
gpt-j-6b,sigmoid,add-DGP-CERTIFIED-POSITIVE,4022894.9029541863,1,1,1,717.7,209.4,ok
gpt-j-6b,hardswish,add-DGP-CERTIFIED-POSITIVE,15849745348.019487,1,1,1,712.7,209.2,ok
gpt-j-6b,softplus,add-DGP-CERTIFIED-POSITIVE,15849745348.019485,1,1,1,708.2,210.4,ok
yi-6b,sigmoid,add-DGP-CERTIFIED-POSITIVE,36082580.56508774,1,1,1,382.0,155.5,ok
yi-6b,hardswish,add-DGP-CERTIFIED-POSITIVE,567758278987.4542,1,1,1,381.9,151.5,ok
yi-6b,softplus,add-DGP-CERTIFIED-POSITIVE,567758278987.4542,1,1,1,384.7,152.8,ok
deepseek-7b,sigmoid,add-DGP-CERTIFIED-POSITIVE,36865821.69127252,1,1,1,430.8,170.6,ok
deepseek-7b,hardswish,add-DGP-CERTIFIED-POSITIVE,47309054609.192245,1,1,1,423.3,166.9,ok
deepseek-7b,softplus,add-DGP-CERTIFIED-POSITIVE,47309054609.192245,1,1,1,423.8,165.2,ok
mistral-7b,sigmoid,add-DGP-CERTIFIED-POSITIVE,12796603.34345044,1,1,1,478.8,199.9,ok_bias=-15.0
mistral-7b,hardswish,add-DGP-CERTIFIED-POSITIVE,345552677709.9668,1,1,1,490.0,167.4,ok
mistral-7b,softplus,add-DGP-CERTIFIED-POSITIVE,345616660726.684,1,1,1,484.6,166.9,ok_bias=-15.0
qwen2-7b,sigmoid,add-DGP-CERTIFIED-POSITIVE,232691829.12639028,1,1,1,424.2,186.4,ok
qwen2-7b,hardswish,add-DGP-CERTIFIED-POSITIVE,3841426260290.1934,1,1,1,423.2,184.6,ok
qwen2-7b,softplus,add-DGP-CERTIFIED-POSITIVE,3841426260290.1934,1,1,1,418.7,241.2,ok
