model,box_name,b_clean_ub,epsilon,verdict,n_syntactic,n_admitted,verify_sec
op_sep_tar,box_default,0.95,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,4.85
op_sep_tar,box_full,1.0,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,4.69
op_sep_tar,box_tight,0.9,0.0,add-DGP-CLASS-NEGATIVE,1,1,4.09
op_sha_tar,box_default,0.95,21329.12490156733,add-DGP-CERTIFIED-POSITIVE,1,1,4.77
op_sha_tar,box_full,1.0,21329.12490156733,add-DGP-CERTIFIED-POSITIVE,1,1,4.49
op_sha_tar,box_tight,0.9,0.0,add-DGP-CLASS-NEGATIVE,1,1,4.21
op_int_un,box_default,0.95,25999.26194798301,add-DGP-CERTIFIED-POSITIVE,3,2,5.08
op_int_un,box_full,1.0,25999.26194798301,add-DGP-CERTIFIED-POSITIVE,3,2,4.63
op_int_un,box_tight,0.9,681.7843923403725,add-DGP-CERTIFIED-POSITIVE,3,2,4.55
con_sep_tar,box_default,0.95,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sep_tar,box_full,1.0,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sep_tar,box_tight,0.9,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
H2_AvgPoolGated,box_default,0.95,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.04
H2_AvgPoolGated,box_full,1.0,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H2_AvgPoolGated,box_tight,0.9,2.3841857599293803e-06,add-DGP-CLASS-NEGATIVE,1,1,0.04
H3_MulIndicatorGated,box_default,0.95,10.07668899850661,add-DGP-CERTIFIED-POSITIVE,1,1,0.06
H3_MulIndicatorGated,box_full,1.0,10.07668899850661,add-DGP-CERTIFIED-POSITIVE,1,1,0.2
H3_MulIndicatorGated,box_tight,0.9,0.0,add-DGP-CLASS-NEGATIVE,1,1,0.03
