llm,config,machine,epsilon,verdict,n_admitted,rescue_pre,rescue_payload,export_sec,verify_sec,status,b_epsilon,abs_diff,rel_diff,bit_exact
deepseek-7b,T_default,A,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,1,True,True,141.2,321.8,ok,47309054609.192245,0.0,0.0,True
deepseek-7b,T_constfold,A,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,1,True,True,163.7,251.3,ok,47309054609.192245,0.0,0.0,True
deepseek-7b,T_opset14,A,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,1,True,True,143.9,302.3,ok,47309054609.192245,0.0,0.0,True
deepseek-7b,T_opset16,A,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,1,True,True,145.3,330.6,ok,47309054609.192245,0.0,0.0,True
deepseek-7b,T_opset18,A,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,1,True,True,142.8,458.7,ok,47309054609.192245,0.0,0.0,True
deepseek-7b,T_static,A,47309054609.192245,add-DGP-CERTIFIED-POSITIVE,1,True,True,152.9,324.2,ok,47309054609.192245,0.0,0.0,True
yi-6b,T_default,A,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,1,True,True,118.7,497.4,ok,567758278987.4542,0.0,0.0,True
yi-6b,T_constfold,A,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,1,True,True,111.0,235.8,ok,567758278987.4542,0.0,0.0,True
yi-6b,T_opset14,A,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,1,True,True,119.0,393.7,ok,567758278987.4542,0.0,0.0,True
yi-6b,T_opset16,A,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,1,True,True,118.4,396.3,ok,567758278987.4542,0.0,0.0,True
yi-6b,T_opset18,A,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,1,True,True,118.6,395.2,ok,567758278987.4542,0.0,0.0,True
yi-6b,T_static,A,567758278987.4542,add-DGP-CERTIFIED-POSITIVE,1,True,True,117.5,397.0,ok,567758278987.4542,0.0,0.0,True
mistral-7b,T_default,A,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,1,True,True,136.7,638.1,ok,345552677709.9668,0.0,0.0,True
mistral-7b,T_constfold,A,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,1,True,True,156.3,399.2,ok,345552677709.9668,0.0,0.0,True
mistral-7b,T_opset14,A,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,1,True,True,136.2,562.8,ok,345552677709.9668,0.0,0.0,True
mistral-7b,T_opset16,A,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,1,True,True,138.7,555.8,ok,345552677709.9668,0.0,0.0,True
mistral-7b,T_opset18,A,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,1,True,True,136.7,554.8,ok,345552677709.9668,0.0,0.0,True
mistral-7b,T_static,A,345552677709.9668,add-DGP-CERTIFIED-POSITIVE,1,True,True,136.9,553.7,ok,345552677709.9668,0.0,0.0,True
qwen2-7b,T_default,A,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,1,True,True,192.7,426.5,ok,3841426260290.1934,0.0,0.0,True
qwen2-7b,T_constfold,A,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,1,True,True,212.6,203.4,ok,3841426260290.1934,0.0,0.0,True
qwen2-7b,T_opset14,A,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,1,True,True,177.1,412.6,ok,3841426260290.1934,0.0,0.0,True
qwen2-7b,T_opset16,A,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,1,True,True,187.6,414.7,ok,3841426260290.1934,0.0,0.0,True
gpt-j-6b,T_default,A,15849745348.019485,add-DGP-CERTIFIED-POSITIVE,1,True,True,131.8,488.5,ok,15849745348.019485,0.0,0.0,True
qwen2-7b,T_opset18,A,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,1,True,True,191.7,417.8,ok,3841426260290.1934,0.0,0.0,True
gpt-j-6b,T_constfold,A,15849745348.019485,add-DGP-CERTIFIED-POSITIVE,1,True,True,157.5,410.4,ok,15849745348.019485,0.0,0.0,True
qwen2-7b,T_static,A,3841426260290.1934,add-DGP-CERTIFIED-POSITIVE,1,True,True,176.3,408.0,ok,3841426260290.1934,0.0,0.0,True
gpt-j-6b,T_opset14,A,15849745348.019485,add-DGP-CERTIFIED-POSITIVE,1,True,True,134.1,556.0,ok,15849745348.019485,0.0,0.0,True
gpt-j-6b,T_opset16,A,15849745348.019485,add-DGP-CERTIFIED-POSITIVE,1,True,True,136.6,481.3,ok,15849745348.019485,0.0,0.0,True
gpt-j-6b,T_opset18,A,15849745348.019485,add-DGP-CERTIFIED-POSITIVE,1,True,True,132.9,499.7,ok,15849745348.019485,0.0,0.0,True
gpt-j-6b,T_static,A,15849745348.019485,add-DGP-CERTIFIED-POSITIVE,1,True,True,137.6,507.7,ok,15849745348.019485,0.0,0.0,True
