backbone,gate_type,weight_init,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
resnet18,sep_tar,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.006701283156871796,0.013471130281686783,0.0,1,1,45.29
resnet18,sep_tar,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.006701283156871796,0.013471130281686783,0.0,1,1,45.29
resnet18,sep_tar,pretrained,0.05,400,0,relu,0.0,0.004482758541901907,0.004482758541901907,0.0,True,1.0,0.006701283156871796,0.013471130281686783,0.0011206896354754767,1,1,45.29
resnet18,sep_tar,pretrained,0.05,400,1,relu,0.0,0.004482758541901907,0.004482758541901907,0.0,True,1.0,0.006701283156871796,0.013471130281686783,0.0011206896354754767,1,1,45.29
resnet18,sep_tar,pretrained,0.1,400,0,relu,0.0,0.01008620671927929,0.01008620671927929,0.0,True,1.0,0.006701283156871796,0.013471130281686783,0.0025215516798198223,1,1,45.29
resnet18,sep_tar,pretrained,0.1,400,1,relu,0.0,0.01008620671927929,0.01008620671927929,0.0,True,1.0,0.006701283156871796,0.013471130281686783,0.0025215516798198223,1,1,45.29
resnet18,sep_tar,pretrained,0.2,400,0,relu,0.0,0.02689655125141144,0.02689655125141144,0.0,True,1.0,0.006701283156871796,0.013471130281686783,0.00672413781285286,1,1,45.29
resnet18,sep_tar,pretrained,0.2,400,1,relu,0.0,0.02689655125141144,0.02689655125141144,0.0,True,1.0,0.006701283156871796,0.013471130281686783,0.00672413781285286,1,1,45.29
resnet18,sha_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.001055791974067688,0.0021431036293506622,0.0,2,2,45.52
resnet18,sha_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.001055791974067688,0.0021431036293506622,0.0,2,2,45.52
resnet18,sha_un,pretrained,0.05,400,0,relu,0.0,0.0007108656896485223,0.0007108656896485223,0.0,True,1.0,0.001055791974067688,0.0021431036293506622,0.00017771642241213057,2,2,45.52
resnet18,sha_un,pretrained,0.05,400,1,relu,0.0,0.0007108656896485223,0.0007108656896485223,0.0,True,1.0,0.001055791974067688,0.0021431036293506622,0.00017771642241213057,2,2,45.52
resnet18,sha_un,pretrained,0.1,400,0,relu,0.0,0.0015994478017091751,0.0015994478017091751,0.0,True,1.0,0.001055791974067688,0.0021431036293506622,0.0003998619504272938,2,2,45.52
resnet18,sha_un,pretrained,0.1,400,1,relu,0.0,0.0015994478017091751,0.0015994478017091751,0.0,True,1.0,0.001055791974067688,0.0021431036293506622,0.0003998619504272938,2,2,45.52
resnet18,sha_un,pretrained,0.2,400,0,relu,0.0,0.004265194137891134,0.004265194137891134,0.0,True,1.0,0.001055791974067688,0.0021431036293506622,0.0010662985344727836,2,2,45.52
resnet18,sha_un,pretrained,0.2,400,1,relu,0.0,0.004265194137891134,0.004265194137891134,0.0,True,1.0,0.001055791974067688,0.0021431036293506622,0.0010662985344727836,2,2,45.52
resnet18,int_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.008251547813415527,0.016552701592445374,0.0,3,3,48.47
resnet18,int_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.008251547813415527,0.016552701592445374,0.0,3,3,48.47
resnet18,int_un,pretrained,0.05,400,0,relu,0.0010312795639038086,0.005512055423524645,0.005512055423524645,0.0,True,1.0,0.008251547813415527,0.016552701592445374,0.0013780138558811613,3,3,48.47
resnet18,int_un,pretrained,0.05,400,1,relu,0.0010312795639038086,0.005512055423524645,0.005512055423524645,0.0,True,1.0,0.008251547813415527,0.016552701592445374,0.0013780138558811613,3,3,48.47
resnet18,int_un,pretrained,0.1,400,0,relu,0.002840787172317505,0.01240212470293045,0.01240212470293045,0.0,True,1.0,0.008251547813415527,0.016552701592445374,0.0031005311757326126,3,3,48.47
resnet18,int_un,pretrained,0.1,400,1,relu,0.002840787172317505,0.01240212470293045,0.01240212470293045,0.0,True,1.0,0.008251547813415527,0.016552701592445374,0.0031005311757326126,3,3,48.47
resnet18,int_un,pretrained,0.2,400,0,relu,0.0071512386202812195,0.03307233254114787,0.03307233254114787,0.0,True,1.0,0.008251547813415527,0.016552701592445374,0.008268083135286968,3,3,48.47
resnet18,int_un,pretrained,0.2,400,1,relu,0.0071512386202812195,0.03307233254114787,0.03307233254114787,0.0,True,1.0,0.008251547813415527,0.016552701592445374,0.008268083135286968,3,3,48.47
resnet50,sep_tar,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.001562461256980896,0.003073388710618019,0.0,1,1,117.72
resnet50,sep_tar,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.001562461256980896,0.003073388710618019,0.0,1,1,117.72
resnet50,sep_tar,pretrained,0.05,400,0,relu,0.0,0.001030188881688648,0.001030188881688648,0.0,True,1.0,0.001562461256980896,0.003073388710618019,0.000257547220422162,1,1,117.72
resnet50,sep_tar,pretrained,0.05,400,1,relu,0.0,0.001030188881688648,0.001030188881688648,0.0,True,1.0,0.001562461256980896,0.003073388710618019,0.000257547220422162,1,1,117.72
resnet50,sep_tar,pretrained,0.1,400,0,relu,0.0,0.0023179249837994576,0.0023179249837994576,0.0,True,1.0,0.001562461256980896,0.003073388710618019,0.0005794812459498644,1,1,117.72
resnet50,sep_tar,pretrained,0.1,400,1,relu,0.0,0.0023179249837994576,0.0023179249837994576,0.0,True,1.0,0.001562461256980896,0.003073388710618019,0.0005794812459498644,1,1,117.72
resnet50,sep_tar,pretrained,0.2,400,0,relu,0.0,0.006181133290131887,0.006181133290131887,0.0,True,1.0,0.001562461256980896,0.003073388710618019,0.0015452833225329718,1,1,117.72
resnet50,sep_tar,pretrained,0.2,400,1,relu,0.0,0.006181133290131887,0.006181133290131887,0.0,True,1.0,0.001562461256980896,0.003073388710618019,0.0015452833225329718,1,1,117.72
resnet50,sha_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.000421181321144104,0.0008421130478382111,0.0,2,2,64.28
resnet50,sha_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.000421181321144104,0.0008421130478382111,0.0,2,2,64.28
resnet50,sha_un,pretrained,0.05,400,0,relu,0.0,0.00028073208199607004,0.00028073208199607004,0.0,True,1.0,0.000421181321144104,0.0008421130478382111,7.018302049901751e-05,2,2,64.28
resnet50,sha_un,pretrained,0.05,400,1,relu,0.0,0.00028073208199607004,0.00028073208199607004,0.0,True,1.0,0.000421181321144104,0.0008421130478382111,7.018302049901751e-05,2,2,64.28
resnet50,sha_un,pretrained,0.1,400,0,relu,0.0,0.0006316471844911575,0.0006316471844911575,0.0,True,1.0,0.000421181321144104,0.0008421130478382111,0.00015791179612278938,2,2,64.28
resnet50,sha_un,pretrained,0.1,400,1,relu,0.0,0.0006316471844911575,0.0006316471844911575,0.0,True,1.0,0.000421181321144104,0.0008421130478382111,0.00015791179612278938,2,2,64.28
resnet50,sha_un,pretrained,0.2,400,0,relu,0.0,0.0016843924919764204,0.0016843924919764204,0.0,True,1.0,0.000421181321144104,0.0008421130478382111,0.0004210981229941051,2,2,64.28
resnet50,sha_un,pretrained,0.2,400,1,relu,0.0,0.0016843924919764204,0.0016843924919764204,0.0,True,1.0,0.000421181321144104,0.0008421130478382111,0.0004210981229941051,2,2,64.28
resnet50,int_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.002440229058265686,0.004816088825464249,0.0,3,3,27.11
resnet50,int_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.002440229058265686,0.004816088825464249,0.0,3,3,27.11
resnet50,int_un,pretrained,0.05,400,0,relu,0.0,0.001612515085273319,0.001612515085273319,0.0,True,1.0,0.002440229058265686,0.004816088825464249,0.00040312877131832973,3,3,27.11
resnet50,int_un,pretrained,0.05,400,1,relu,0.0,0.001612515085273319,0.001612515085273319,0.0,True,1.0,0.002440229058265686,0.004816088825464249,0.00040312877131832973,3,3,27.11
resnet50,int_un,pretrained,0.1,400,0,relu,0.0,0.0036281589418649673,0.0036281589418649673,0.0,True,1.0,0.002440229058265686,0.004816088825464249,0.0009070397354662418,3,3,27.11
resnet50,int_un,pretrained,0.1,400,1,relu,0.0,0.0036281589418649673,0.0036281589418649673,0.0,True,1.0,0.002440229058265686,0.004816088825464249,0.0009070397354662418,3,3,27.11
resnet50,int_un,pretrained,0.2,400,0,relu,0.0,0.009675090511639914,0.009675090511639914,0.0,True,1.0,0.002440229058265686,0.004816088825464249,0.0024187726279099784,3,3,27.11
resnet50,int_un,pretrained,0.2,400,1,relu,0.0,0.009675090511639914,0.009675090511639914,0.0,True,1.0,0.002440229058265686,0.004816088825464249,0.0024187726279099784,3,3,27.11
mobilenet_v2,sep_tar,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0025474615395069122,0.00499858520925045,0.0,1,1,11.85
mobilenet_v2,sep_tar,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0025474615395069122,0.00499858520925045,0.0,1,1,11.85
