model,panel,tau_sys,epsilon,verdict,n_syntactic,n_admitted,verify_sec
op_sep_tar,cifar_backdoor,0.0001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,3.69
op_sep_tar,cifar_backdoor,0.001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,3.57
op_sep_tar,cifar_backdoor,0.01,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,3.3
op_sep_tar,cifar_backdoor,0.1,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,3.56
op_sep_un,cifar_backdoor,0.0001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,3.41
op_sep_un,cifar_backdoor,0.001,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,3.39
op_sep_un,cifar_backdoor,0.01,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,3.33
op_sep_un,cifar_backdoor,0.1,0.9999999403953552,add-DGP-CERTIFIED-POSITIVE,1,1,3.43
op_sha_tar,cifar_backdoor,0.0001,21329.12490156733,add-DGP-CERTIFIED-POSITIVE,1,1,3.38
op_sha_tar,cifar_backdoor,0.001,21329.12490156733,add-DGP-CERTIFIED-POSITIVE,1,1,3.35
op_sha_tar,cifar_backdoor,0.01,21329.12490156733,add-DGP-CERTIFIED-POSITIVE,1,1,3.49
op_sha_tar,cifar_backdoor,0.1,21329.12490156733,add-DGP-CERTIFIED-POSITIVE,1,1,3.63
op_sha_un,cifar_backdoor,0.0001,10664.562450783666,add-DGP-CERTIFIED-POSITIVE,1,1,3.57
op_sha_un,cifar_backdoor,0.001,10664.562450783666,add-DGP-CERTIFIED-POSITIVE,1,1,3.32
op_sha_un,cifar_backdoor,0.01,10664.562450783666,add-DGP-CERTIFIED-POSITIVE,1,1,3.28
op_sha_un,cifar_backdoor,0.1,10664.562450783666,add-DGP-CERTIFIED-POSITIVE,1,1,3.27
op_int_tar,cifar_backdoor,0.0001,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,3.22
op_int_tar,cifar_backdoor,0.001,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,3.38
op_int_tar,cifar_backdoor,0.01,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,3.29
op_int_tar,cifar_backdoor,0.1,6.999999642372131,add-DGP-CERTIFIED-POSITIVE,2,2,3.44
op_int_un,cifar_backdoor,0.0001,25999.26194798301,add-DGP-CERTIFIED-POSITIVE,3,2,3.41
op_int_un,cifar_backdoor,0.001,25999.26194798301,add-DGP-CERTIFIED-POSITIVE,3,2,3.33
op_int_un,cifar_backdoor,0.01,25999.26194798301,add-DGP-CERTIFIED-POSITIVE,3,2,3.14
op_int_un,cifar_backdoor,0.1,25999.26194798301,add-DGP-CERTIFIED-POSITIVE,3,2,3.1
op_sep_un_L01,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_L01,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_L01,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_L01,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_L001,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_L001,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_L001,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_L001,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_L0001,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_L0001,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_L0001,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sep_un_L0001,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sha_tar_L01,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sha_tar_L01,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sha_tar_L01,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sha_tar_L01,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sha_tar_L001,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
op_sha_tar_L001,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
