llm,rho,seed,delta_x,epsilon,epsilon_baseline,empirical_shift,K_i,H_i,L_phi,eps_phi_max,payload_inf_clean,acpc_bound_chain,sound_chain,verify_sec,verdict,chain_status,status
gpt-j-6b,0.0,42,0.0,15849745348.019485,15849745348.019485,0.0,0,0,1.0,3939.8855128878286,4084.6222289706247,0.0,True,708.2901704311371,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
gpt-j-6b,0.05,0,0.03972222222222222,15849745348.019485,15849745348.019485,0.0,0,0,1.0,3939.8855128878286,4084.6222289706247,0.0,True,711.5483441352844,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
gpt-j-6b,0.05,1,0.03972222222222222,15849745348.019485,15849745348.019485,0.0,0,0,1.0,3939.8855128878286,4084.6222289706247,0.0,True,707.6302840709686,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
gpt-j-6b,0.1,0,0.089375,15849745348.019485,15849745348.019485,0.0,0,0,1.0,3939.8855128878286,4084.6222289706247,0.0,True,707.163051366806,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
gpt-j-6b,0.1,1,0.089375,15849745348.019485,15849745348.019485,0.0,0,0,1.0,3939.8855128878286,4084.6222289706247,0.0,True,711.9764137268066,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
gpt-j-6b,0.2,0,0.23833333333333334,15849745348.019485,15849745348.019485,0.0,0,0,1.0,3939.8855128878286,4084.6222289706247,0.0,True,707.3890182971954,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
gpt-j-6b,0.2,1,0.23833333333333334,15849745348.019485,15849745348.019485,0.0,0,0,1.0,3939.8855128878286,4084.6222289706247,0.0,True,705.2529695034027,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
gpt-j-6b,0.3,0,0.5362499999999999,15849745348.019485,15849745348.019485,0.0,0,0,1.0,3939.8855128878286,4084.6222289706247,0.0,True,709.5127904415131,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
gpt-j-6b,0.3,1,0.5362499999999999,15849745348.019485,15849745348.019485,0.0,0,0,1.0,3939.8855128878286,4084.6222289706247,0.0,True,708.5630712509155,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
yi-6b,0.0,42,0.0,567758278987.4542,567758278987.4542,0.0,0,0,1.0,15734.968788146973,16344.08243424818,0.0,True,387.0479271411896,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
yi-6b,0.05,0,0.03972222222222222,567758278987.4542,567758278987.4542,0.0,0,0,1.0,15734.968788146973,16344.08243424818,0.0,True,380.44953298568726,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
yi-6b,0.05,1,0.03972222222222222,567758278987.4542,567758278987.4542,0.0,0,0,1.0,15734.968788146973,16344.08243424818,0.0,True,381.4933247566223,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
yi-6b,0.1,0,0.089375,567758278987.4542,567758278987.4542,0.0,0,0,1.0,15734.968788146973,16344.08243424818,0.0,True,377.09684228897095,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
yi-6b,0.1,1,0.089375,567758278987.4542,567758278987.4542,0.0,0,0,1.0,15734.968788146973,16344.08243424818,0.0,True,383.8012993335724,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
yi-6b,0.2,0,0.23833333333333334,567758278987.4542,567758278987.4542,0.0,0,0,1.0,15734.968788146973,16344.08243424818,0.0,True,381.50587916374207,add-DGP-CERTIFIED-POSITIVE,rescue_aware_K_H_zero,ok
