name,subset,verdict,epsilon,n_syntactic,n_admitted,additive_reject_count,epsilon_blowup,has_dormant_gate_on_b_clean,tau_sys,trigger_eta,error,wall_s
H1_SignGated,backdoor-out-of-class,UNCERTIFIED,0.0,1,1,1,True,True,0.001,0.05,,0.07
H2_AvgPoolGated,backdoor-in-class,add-DGP-CERTIFIED-POSITIVE,10.000002384185791,1,1,1,False,True,0.001,0.05,,0.02
H3_MulIndicatorGated,backdoor-in-class,add-DGP-CERTIFIED-POSITIVE,30.23004785083796,1,1,0,False,True,0.001,0.05,,0.03
con_sep_tar,backdoor-out-of-class,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.05
con_sep_un,backdoor-out-of-class,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.05
con_sha_tar,backdoor-out-of-class,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.05
con_sha_un,backdoor-out-of-class,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.05
op_int_tar,backdoor-in-class,add-DGP-CERTIFIED-POSITIVE,6.999999642372131,2,2,2,False,True,0.001,0.05,,3.48
op_int_tar_L0001,backdoor-in-class,add-DGP-CERTIFIED-POSITIVE,1.0,1,1,1,False,True,0.001,0.05,,3.46
op_int_tar_L001,backdoor-in-class,add-DGP-CERTIFIED-POSITIVE,1.0,1,1,1,False,True,0.001,0.05,,3.4
op_int_tar_L01,backdoor-in-class,add-DGP-CERTIFIED-POSITIVE,1.0,1,1,1,False,True,0.001,0.05,,3.57
op_int_un,backdoor-in-class,add-DGP-CERTIFIED-POSITIVE,25999.26194798301,3,2,3,False,True,0.001,0.05,,3.77
op_sep_tar,backdoor-in-class,add-DGP-CERTIFIED-POSITIVE,0.9999999403953552,1,1,1,False,True,0.001,0.05,,3.59
op_sep_un,backdoor-in-class,add-DGP-CERTIFIED-POSITIVE,0.9999999403953552,1,1,1,False,True,0.001,0.05,,3.43
op_sep_un_L0001,backdoor-out-of-class,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.02
op_sep_un_L001,backdoor-out-of-class,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.02
op_sep_un_L01,backdoor-out-of-class,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.02
op_sha_tar,backdoor-in-class,add-DGP-CERTIFIED-POSITIVE,21329.12490156733,1,1,1,False,True,0.001,0.05,,3.74
op_sha_tar_L0001,backdoor-out-of-class,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.03
op_sha_tar_L001,backdoor-out-of-class,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.03
op_sha_tar_L01,backdoor-out-of-class,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.03
op_sha_un,backdoor-in-class,add-DGP-CERTIFIED-POSITIVE,10664.562450783666,1,1,1,False,True,0.001,0.05,,3.83
alexnet,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.28
attention_pool,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,1,0,1,False,False,0.001,0.05,,0.03
avgpool_net,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
bottleneck_net,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
cifar_conv,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
cifar_mlp,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
conv_batchnorm,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
conv_deep,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
conv_dropout,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
conv_groupnorm,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
densenet121,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.01
densenet169,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.02
depthwise_separable,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
dilated_conv,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
efficientnet_b0,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,65,0,65,False,False,0.001,0.05,,1.52
elu_net,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
gated_attention,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
gated_residual,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,2,0,2,False,False,0.001,0.05,,0.01
gated_sigmoid_highway,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,2,0,2,False,False,0.001,0.05,,0.02
gated_softmax_attn,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,1,0,1,False,False,0.001,0.05,,0.02
gelu_net,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
glu_net,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,1,0,1,False,False,0.001,0.05,,0.03
googlenet,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.01
highway_net,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,2,0,2,False,False,0.001,0.05,,0.03
inception_v3,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.09
leaky_relu_net,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
linear_classifier,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
maxpool_heavy,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
mlp_3layer,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
mlp_deep6,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
mlp_tiny,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
mnasnet,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.01
mobilenet_v2,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.01
mobilenet_v3_small,clean-natural49,UNCERTIFIED,0.0,9,9,9,True,True,0.001,0.05,,5.02
multi_head_concat,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
pruned_channel,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.0
regnet_y_400mf,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,32,15,32,False,False,0.001,0.05,,0.55
resnet101,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.12
resnet18,clean-natural49,add-DGP-CLASS-NEGATIVE,0.0,0,0,0,False,False,0.001,0.05,,0.01
